https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BAT
1618272000000,2021-04-13 00:00:00,BAT/USD,1.4181,1.4181,1.4181,1.4181,78.26214534299999,55.18803
1618185600000,2021-04-12 00:00:00,BAT/USD,1.4501,1.4724,1.3887,1.418,163355.6100113699,115201.41749744
1618099200000,2021-04-11 00:00:00,BAT/USD,1.4648,1.5675,1.4104,1.4451,226899.3180217322,157012.88355251
1618012800000,2021-04-10 00:00:00,BAT/USD,1.5447,1.6208,1.3922,1.4702,645481.4609735354,439043.30089343997
1617926400000,2021-04-09 00:00:00,BAT/USD,1.295,1.6489,1.2692,1.5471,1635764.683568791,1057310.24728123
1617840000000,2021-04-08 00:00:00,BAT/USD,1.1819,1.294,1.1781,1.2794,182122.96160627189,142350.29045355
1617753600000,2021-04-07 00:00:00,BAT/USD,1.3121,1.3775,1.1503,1.186,388584.38847099297,327642.82333136
1617667200000,2021-04-06 00:00:00,BAT/USD,1.2875,1.3348,1.1669,1.3237,326576.76562574855,246715.09074998
1617580800000,2021-04-05 00:00:00,BAT/USD,1.184,1.296,1.1292,1.2809,320807.6457995326,250454.87219887
1617494400000,2021-04-04 00:00:00,BAT/USD,1.11,1.184,1.0941,1.1763,45667.52282418569,38823.023739
1617408000000,2021-04-03 00:00:00,BAT/USD,1.1921,1.2627,1.1125,1.1182,439782.7907189322,393295.28771144
1617321600000,2021-04-02 00:00:00,BAT/USD,1.1449,1.2783,1.1376,1.2039,291408.94160515955,242054.10881731
1617235200000,2021-04-01 00:00:00,BAT/USD,1.1475,1.1794,1.1215,1.1544,111224.45532735264,96348.2807756
1617148800000,2021-03-31 00:00:00,BAT/USD,1.1779,1.1787,1.0837,1.1359,149201.0223824156,131350.49069673
1617062400000,2021-03-30 00:00:00,BAT/USD,1.1351,1.2101,1.1351,1.1729,90241.57144479017,76938.84512302
1616976000000,2021-03-29 00:00:00,BAT/USD,1.12,1.1437,1.0789,1.1436,154948.76417317914,135492.09878732
1616889600000,2021-03-28 00:00:00,BAT/USD,1.0865,1.1498,1.061,1.1086,123382.64386174927,111295.90822817
1616803200000,2021-03-27 00:00:00,BAT/USD,1.0853,1.0865,1.0152,1.0854,298603.3130696663,275109.00411799
1616716800000,2021-03-26 00:00:00,BAT/USD,0.99439,1.0892,0.98281,1.0712,91270.51416453724,85203.99007145
1616630400000,2021-03-25 00:00:00,BAT/USD,0.98354,1.08,0.93008,0.9703,192212.26838603624,198095.71100282
1616544000000,2021-03-24 00:00:00,BAT/USD,1.0353,1.123,0.9476,0.98865,353678.1432756797,357738.47496655
1616457600000,2021-03-23 00:00:00,BAT/USD,1.1009,1.1196,1.0288,1.0578,133379.51497046204,126091.43029917
1616371200000,2021-03-22 00:00:00,BAT/USD,1.1313,1.209,1.0379,1.0942,161698.97211159713,147778.26001791
1616284800000,2021-03-21 00:00:00,BAT/USD,1.0842,1.1419,1.0522,1.1102,161753.71411829995,145697.8149147
1616198400000,2021-03-20 00:00:00,BAT/USD,1.18,1.2254,1.0758,1.0825,314055.3000340646,290120.36954648
1616112000000,2021-03-19 00:00:00,BAT/USD,1.1846,1.2389,1.1594,1.1804,1076777.5328935096,912214.1078393
1616025600000,2021-03-18 00:00:00,BAT/USD,1.2635,1.3775,1.1926,1.2012,783867.6849795912,652570.50031601
1615939200000,2021-03-17 00:00:00,BAT/USD,1.04,1.3625,0.94554,1.2269,2372582.346730542,1933802.54848035
1615852800000,2021-03-16 00:00:00,BAT/USD,0.7706,1.1798,0.72907,1.0249,1834284.9012619762,1789720.85204603
1615766400000,2021-03-15 00:00:00,BAT/USD,0.76625,0.80454,0.72158,0.76266,413342.2258126652,541974.43921625
1615680000000,2021-03-14 00:00:00,BAT/USD,0.81099,0.84651,0.768,0.768,255261.20917163522,332371.3661089
1615593600000,2021-03-13 00:00:00,BAT/USD,0.75441,0.83777,0.72197,0.815,311246.1385338325,381897.1024955
1615507200000,2021-03-12 00:00:00,BAT/USD,0.79741,0.8112,0.73466,0.7586,249441.65639339667,328818.42393013
1615420800000,2021-03-11 00:00:00,BAT/USD,0.82274,0.85818,0.77799,0.8083,664885.1983216463,822572.3101839
1615334400000,2021-03-10 00:00:00,BAT/USD,0.74741,0.88138,0.69523,0.82754,1399400.9547416295,1691037.23655851
1615248000000,2021-03-09 00:00:00,BAT/USD,0.74285,0.76206,0.7048,0.74476,308310.61959195975,413973.1183092
1615161600000,2021-03-08 00:00:00,BAT/USD,0.70285,0.741,0.66623,0.741,259169.14965596306,349755.93745744
1615075200000,2021-03-07 00:00:00,BAT/USD,0.66831,0.7253,0.66604,0.6933,431646.32043086825,622596.74084937
1614988800000,2021-03-06 00:00:00,BAT/USD,0.68771,0.69505,0.63585,0.66981,310344.37856917316,463331.95767333
1614902400000,2021-03-05 00:00:00,BAT/USD,0.68119,0.723,0.63989,0.67565,542504.198830944,802936.72586538
1614816000000,2021-03-04 00:00:00,BAT/USD,0.76271,0.79144,0.66427,0.69658,634189.3626942209,910432.91896727
1614729600000,2021-03-03 00:00:00,BAT/USD,0.60232,0.839,0.60232,0.77,2364924.581863436,3071330.62579667
1614643200000,2021-03-02 00:00:00,BAT/USD,0.59399,0.62862,0.55576,0.60169,224170.60275165827,372568.27062384
1614556800000,2021-03-01 00:00:00,BAT/USD,0.52901,0.5975,0.52097,0.58563,293179.8149965478,500622.94451539
1614470400000,2021-02-28 00:00:00,BAT/USD,0.51003,0.53766,0.4629,0.51981,306646.76420881634,589920.86379411
1614384000000,2021-02-27 00:00:00,BAT/USD,0.53098,0.56468,0.50308,0.51071,181529.51799284108,355445.39561168
1614297600000,2021-02-26 00:00:00,BAT/USD,0.48855,0.55238,0.4417,0.523,301876.37406896375,577201.48005538
1614211200000,2021-02-25 00:00:00,BAT/USD,0.52739,0.538,0.47657,0.48211,69705.04565334354,144583.28110461
1614124800000,2021-02-24 00:00:00,BAT/USD,0.48,0.55,0.44693,0.51161,135637.75908644198,265119.4446677
1614038400000,2021-02-23 00:00:00,BAT/USD,0.545,0.5456,0.3945,0.47818,470496.33336759603,983931.43453845
1613952000000,2021-02-22 00:00:00,BAT/USD,0.61,0.64,0.45444,0.53956,437668.77605116775,811158.67753571
1613865600000,2021-02-21 00:00:00,BAT/USD,0.57845,0.60956,0.56319,0.60751,234409.63751830527,385853.13413492
1613779200000,2021-02-20 00:00:00,BAT/USD,0.61537,0.63346,0.54498,0.57943,308839.11482497904,533005.04776242
1613692800000,2021-02-19 00:00:00,BAT/USD,0.63674,0.65472,0.59515,0.61025,241898.69509657446,396392.78180512
1613606400000,2021-02-18 00:00:00,BAT/USD,0.57726,0.64761,0.50015,0.63437,295844.22141664603,466359.09865953
1613520000000,2021-02-17 00:00:00,BAT/USD,0.55605,0.59559,0.51045,0.57314,199951.3387095798,348869.97716017
1613433600000,2021-02-16 00:00:00,BAT/USD,0.53661,0.58959,0.51422,0.55773,263124.74364223354,471777.99946611
1613347200000,2021-02-15 00:00:00,BAT/USD,0.56205,0.59456,0.45202,0.537,314617.4702093631,585879.83279211
1613260800000,2021-02-14 00:00:00,BAT/USD,0.62226,0.62429,0.54244,0.56483,348757.1969498207,617455.15810035
1613174400000,2021-02-13 00:00:00,BAT/USD,0.6345,0.69529,0.57182,0.619,690832.2878813703,1116045.6993237
1613088000000,2021-02-12 00:00:00,BAT/USD,0.59,0.705,0.54992,0.62759,630509.8790453717,1004652.52640318
1613001600000,2021-02-11 00:00:00,BAT/USD,0.44317,0.67,0.43343,0.59309,1132222.956511772,1909023.85221766
1612915200000,2021-02-10 00:00:00,BAT/USD,0.436,0.46129,0.3942,0.44567,484940.2652420382,1088115.11935297
1612828800000,2021-02-09 00:00:00,BAT/USD,0.4177,0.44974,0.39483,0.43421,268263.9517714255,617820.7590139
1612742400000,2021-02-08 00:00:00,BAT/USD,0.40765,0.431,0.38845,0.4196,329526.2211914425,785334.17824462
1612656000000,2021-02-07 00:00:00,BAT/USD,0.35267,0.42775,0.334,0.40814,460388.3191520928,1128015.67881632
1612569600000,2021-02-06 00:00:00,BAT/USD,0.37233,0.37234,0.34152,0.35306,178591.19563753935,505838.08881646
1612483200000,2021-02-05 00:00:00,BAT/USD,0.31444,0.37518,0.31444,0.3706,258396.01046841996,697236.94136109
1612396800000,2021-02-04 00:00:00,BAT/USD,0.32292,0.32441,0.305,0.3129,72353.07794792874,231233.87007967
1612310400000,2021-02-03 00:00:00,BAT/USD,0.31761,0.32956,0.31293,0.32244,42627.065580540904,132201.5431725
1612224000000,2021-02-02 00:00:00,BAT/USD,0.31788,0.32304,0.30666,0.31761,63191.18403550315,198958.42081642
1612137600000,2021-02-01 00:00:00,BAT/USD,0.29954,0.31861,0.29138,0.31572,80918.33592568603,256297.78261018
1612051200000,2021-01-31 00:00:00,BAT/USD,0.31676,0.32378,0.29604,0.30338,64106.230138671344,211306.71151253
1611964800000,2021-01-30 00:00:00,BAT/USD,0.30873,0.32327,0.29527,0.31618,83437.82259633332,263893.42335484
1611878400000,2021-01-29 00:00:00,BAT/USD,0.30865,0.3161,0.28947,0.31055,108070.0539794612,347995.66568817
1611792000000,2021-01-28 00:00:00,BAT/USD,0.30279,0.3202,0.29885,0.30581,56605.957794116395,185101.722619
1611705600000,2021-01-27 00:00:00,BAT/USD,0.29942,0.31569,0.27193,0.30231,57585.46587079048,190484.81979025
1611619200000,2021-01-26 00:00:00,BAT/USD,0.30218,0.30935,0.28128,0.29842,127256.55823808457,426434.41538129
