https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DAI
1618272000000,2021-04-13 00:00:00,DAI/USD,1.0006,1.0006,1.0003,1.0003,140.548268354956,140.50611652
1618185600000,2021-04-12 00:00:00,DAI/USD,1.0012,1.002,0.9998,1.0004,184874.24510877152,184800.32497878
1618099200000,2021-04-11 00:00:00,DAI/USD,1.0017,1.002,0.999,1.0015,95594.48340688081,95451.30644721
1618012800000,2021-04-10 00:00:00,DAI/USD,1.0011,1.0029,1.0,1.0017,252066.46419389892,251638.67844055
1617926400000,2021-04-09 00:00:00,DAI/USD,1.0007,1.0017,0.9999,1.0017,231374.66332133382,230981.99393165
1617840000000,2021-04-08 00:00:00,DAI/USD,1.001,1.0056,0.9988,1.0007,182728.09237993258,182600.2721894
1617753600000,2021-04-07 00:00:00,DAI/USD,0.99963,1.0009,0.99526,1.0008,154368.66640013718,154245.27018399
1617667200000,2021-04-06 00:00:00,DAI/USD,1.001,1.002,0.9982,0.9994,501760.9956833461,502062.23302316
1617580800000,2021-04-05 00:00:00,DAI/USD,1.0009,1.0016,0.99901,1.0011,221918.29607643455,221674.45417684
1617494400000,2021-04-04 00:00:00,DAI/USD,0.99965,1.0009,0.99965,1.0009,27914.773127219833,27889.67242204
1617408000000,2021-04-03 00:00:00,DAI/USD,1.0005,1.0015,0.998,0.99964,87303.8815037209,87335.32221972
1617321600000,2021-04-02 00:00:00,DAI/USD,0.9998,1.0066,0.9998,1.0006,74453.85497811146,74409.20945244
1617235200000,2021-04-01 00:00:00,DAI/USD,0.99995,1.0017,0.9991,1.0001,43250.04655643842,43245.72198424
1617148800000,2021-03-31 00:00:00,DAI/USD,1.0021,1.0026,0.9991,0.9995,184261.6327177787,184353.80962259
1617062400000,2021-03-30 00:00:00,DAI/USD,1.0015,1.0039,1.0002,1.0023,144233.0221488614,143902.04743975
1616976000000,2021-03-29 00:00:00,DAI/USD,1.0011,1.0034,0.9996,1.0015,131962.19734783308,131764.55052205
1616889600000,2021-03-28 00:00:00,DAI/USD,1.0015,1.003,1.0006,1.0008,25710.423833508765,25689.87193596
1616803200000,2021-03-27 00:00:00,DAI/USD,1.0003,1.0024,1.0,1.0015,49027.69569160274,48954.26429516
1616716800000,2021-03-26 00:00:00,DAI/USD,1.0011,1.0019,0.9999,1.0003,97441.98706111964,97412.76323215
1616630400000,2021-03-25 00:00:00,DAI/USD,1.0016,1.0039,0.95129,1.0012,224259.94996522705,223991.16057254
1616544000000,2021-03-24 00:00:00,DAI/USD,1.0018,1.0032,0.9998,1.0019,134491.74410181673,134236.69438249
1616457600000,2021-03-23 00:00:00,DAI/USD,1.0014,1.0029,1.0,1.0014,129579.77068883361,129398.61263115
1616371200000,2021-03-22 00:00:00,DAI/USD,1.0004,1.0024,1.0001,1.0009,51245.694684898226,51199.61503137
1616284800000,2021-03-21 00:00:00,DAI/USD,1.0004,1.0029,0.99831,1.0005,365777.85516896006,365595.05764014
1616198400000,2021-03-20 00:00:00,DAI/USD,1.0006,1.003,1.0001,1.0004,493235.33475630335,493038.1195085
1616112000000,2021-03-19 00:00:00,DAI/USD,1.0015,1.0035,1.0001,1.0005,359643.0082791204,359463.2766408
1616025600000,2021-03-18 00:00:00,DAI/USD,1.0,1.0032,0.9996,1.0015,102984.76117805742,102830.51540495
1615939200000,2021-03-17 00:00:00,DAI/USD,1.0009,1.0021,0.99772,0.9997,247457.47477067274,247531.73429096
1615852800000,2021-03-16 00:00:00,DAI/USD,1.003,1.0114,0.999,1.0009,293186.13030187663,292922.50005183
1615766400000,2021-03-15 00:00:00,DAI/USD,1.0013,1.0071,0.9999,1.003,334360.4871654227,333360.40594758
