https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DASH,Volume USD
1605398400,2020-11-15 00:00:00,DASH/USD,77.26,77.26,77.02,77.22,3145.08,40.76
1605312000,2020-11-14 00:00:00,DASH/USD,77.81,79.9,74.42,77.26,282902.98,3674.21
1605225600,2020-11-13 00:00:00,DASH/USD,77.87,79.32,75.75,77.81,257320.9,3330.43
1605139200,2020-11-12 00:00:00,DASH/USD,69.43,80.2,68.42,77.87,2058513.15,27032.82
1605052800,2020-11-11 00:00:00,DASH/USD,68.97,71.68,68.86,69.43,158441.82,2243.61
1604966400,2020-11-10 00:00:00,DASH/USD,68.02,69.68,67.5,68.97,109695.09,1594.41
1604880000,2020-11-09 00:00:00,DASH/USD,68.11,69.09,66.5,68.02,186514.52,2758.1
1604793600,2020-11-08 00:00:00,DASH/USD,66.81,69.26,65.85,68.11,95735.88,1413.65
1604707200,2020-11-07 00:00:00,DASH/USD,70.09,72.12,65.29,66.81,423253.65,6154.94
1604620800,2020-11-06 00:00:00,DASH/USD,67.74,70.68,67.45,70.09,289212.67,4179.84
1604534400,2020-11-05 00:00:00,DASH/USD,64.76,70.33,63.59,67.74,376041.96,5581.98
1604448000,2020-11-04 00:00:00,DASH/USD,64.35,65.34,62.33,64.76,164199.66,2573.98
1604361600,2020-11-03 00:00:00,DASH/USD,65.01,65.44,62.79,64.35,258083.8,4049.84
1604275200,2020-11-02 00:00:00,DASH/USD,68.8,69.58,64.83,65.01,133930.03,2005.36
1604188800,2020-11-01 00:00:00,DASH/USD,70.16,70.58,68.33,68.8,229821.63,3304.43
1604102400,2020-10-31 00:00:00,DASH/USD,69.8,73.33,68.7,70.16,469925.05,6596.86
1604016000,2020-10-30 00:00:00,DASH/USD,66.98,72.54,63.38,69.8,771709.66,11536.32
1603929600,2020-10-29 00:00:00,DASH/USD,67.99,68.72,65.7,66.98,163558.03,2433.76
1603843200,2020-10-28 00:00:00,DASH/USD,70.68,71.12,66.9,67.99,161441.44,2353.86
1603756800,2020-10-27 00:00:00,DASH/USD,69.19,72.28,68.97,70.68,143589.55,2031.25
1603670400,2020-10-26 00:00:00,DASH/USD,70.96,72.61,68.38,69.19,397673.44,5603.96
1603584000,2020-10-25 00:00:00,DASH/USD,73.44,73.81,70.44,70.96,199686.02,2766.55
1603497600,2020-10-24 00:00:00,DASH/USD,72.1,73.85,71.46,73.44,269719.62,3723.57
1603411200,2020-10-23 00:00:00,DASH/USD,75.0,75.2,71.04,72.1,282916.21,3881.67
1603324800,2020-10-22 00:00:00,DASH/USD,74.89,77.91,74.23,75.0,195268.4,2566.05
1603238400,2020-10-21 00:00:00,DASH/USD,70.87,77.07,70.62,74.89,378310.89,5118.92
1603152000,2020-10-20 00:00:00,DASH/USD,74.91,77.05,70.53,70.87,484530.36,6593.59
1603065600,2020-10-19 00:00:00,DASH/USD,67.33,78.0,66.21,74.91,1153027.44,15739.95
1602979200,2020-10-18 00:00:00,DASH/USD,67.33,67.37,66.51,67.33,63984.05,954.75
1602892800,2020-10-17 00:00:00,DASH/USD,66.13,67.56,65.16,67.33,270794.08,4092.54
1602806400,2020-10-16 00:00:00,DASH/USD,69.26,70.12,65.45,66.13,210241.26,3149.78
1602720000,2020-10-15 00:00:00,DASH/USD,70.09,70.52,68.11,69.26,80543.02,1162.47
1602633600,2020-10-14 00:00:00,DASH/USD,71.46,72.14,69.06,70.09,84636.19,1205.03
1602547200,2020-10-13 00:00:00,DASH/USD,71.91,73.47,70.6,71.46,334109.15,4633.9
1602460800,2020-10-12 00:00:00,DASH/USD,71.8,74.63,70.19,71.91,248794.74,3432.17
1602374400,2020-10-11 00:00:00,DASH/USD,68.11,72.75,67.85,71.8,467594.87,6538.85
1602288000,2020-10-10 00:00:00,DASH/USD,67.41,69.39,67.36,68.11,295157.74,4288.51
1602201600,2020-10-09 00:00:00,DASH/USD,66.55,67.89,66.02,67.41,284930.04,4274.98
1602115200,2020-10-08 00:00:00,DASH/USD,66.04,67.48,64.32,66.55,77245.63,1168.9
1602028800,2020-10-07 00:00:00,DASH/USD,65.53,66.35,64.1,66.04,87521.46,1335.73
1601942400,2020-10-06 00:00:00,DASH/USD,67.27,68.36,64.68,65.53,228965.39,3421.88
1601856000,2020-10-05 00:00:00,DASH/USD,66.51,67.27,65.71,67.27,47864.99,720.68
1601769600,2020-10-04 00:00:00,DASH/USD,65.57,66.94,65.11,66.51,31728.36,479.36
