https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume EOS
1618272000000,2021-04-13 00:00:00,EOS/USD,6.489,6.56,6.4601,6.5452,223806.87910976468,34194.04741028
1618185600000,2021-04-12 00:00:00,EOS/USD,6.7569,6.8776,6.2762,6.4737,19207301.23257144,2966974.25468765
1618099200000,2021-04-11 00:00:00,EOS/USD,6.6222,7.0671,6.5608,6.7333,14013332.956929775,2081198.36587257
1618012800000,2021-04-10 00:00:00,EOS/USD,6.2171,6.7621,6.1506,6.6213,19983121.550456434,3018005.76177736
1617926400000,2021-04-09 00:00:00,EOS/USD,6.4466,6.6,6.0773,6.1953,13294422.588609684,2145888.42971441
1617840000000,2021-04-08 00:00:00,EOS/USD,5.8933,6.468,5.8053,6.44444193,16847652.769384474,2614291.96699806
1617753600000,2021-04-07 00:00:00,EOS/USD,6.6518,7.0452,5.73,5.8879,42936526.918766014,7292332.90625962
1617667200000,2021-04-06 00:00:00,EOS/USD,6.7005,7.08528917,6.1878,6.6374,32833640.00997382,4946762.28794013
1617580800000,2021-04-05 00:00:00,EOS/USD,6.2985,7.0637,5.8394,6.6995,34571128.438949995,5160255.00991865
1617494400000,2021-04-04 00:00:00,EOS/USD,5.3819,6.3005,5.3255,6.2892,20208466.468386095,3213201.43553808
1617408000000,2021-04-03 00:00:00,EOS/USD,6.2652,6.477,5.2085,5.4117,28497891.82669449,5265977.75684064
1617321600000,2021-04-02 00:00:00,EOS/USD,5.595,6.3548,5.3695,6.2531,30276966.92327702,4841913.11881739
1617235200000,2021-04-01 00:00:00,EOS/USD,4.81,5.9739,4.711,5.5928,46057897.80428207,8235212.73857139
1617148800000,2021-03-31 00:00:00,EOS/USD,4.3505,4.9023,4.0725,4.8009,26054270.78340918,5426955.52571584
1617062400000,2021-03-30 00:00:00,EOS/USD,4.2813,4.4167,4.2087,4.3491,9163559.19506367,2107001.26349444
1616976000000,2021-03-29 00:00:00,EOS/USD,4.1109,4.3233,4.067,4.27968771,11576245.62890205,2704927.65204638
1616889600000,2021-03-28 00:00:00,EOS/USD,4.0941,4.2181,4.0381,4.1151,4382615.722120831,1065008.31623067
1616803200000,2021-03-27 00:00:00,EOS/USD,4.1828,4.1987,3.9803,4.0945,2770125.882308659,676548.02352147
1616716800000,2021-03-26 00:00:00,EOS/USD,3.6791,4.1964,3.6791,4.1822,9299772.781281909,2223655.67913584
1616630400000,2021-03-25 00:00:00,EOS/USD,3.6967,3.7808,3.53,3.6798,7261628.668175871,1973375.90852108
1616544000000,2021-03-24 00:00:00,EOS/USD,4.0866,4.3062,3.4448,3.6973,19288465.707671672,5216905.77114967
1616457600000,2021-03-23 00:00:00,EOS/USD,4.0799,4.2641,4.0345,4.0873,6552121.656937981,1603043.97938443
1616371200000,2021-03-22 00:00:00,EOS/USD,4.1575,4.34813763,4.0,4.0777,8664955.283696651,2124961.4448578
1616284800000,2021-03-21 00:00:00,EOS/USD,4.3267,4.4136,4.1151,4.1563,9545024.459658446,2296519.61111047
1616198400000,2021-03-20 00:00:00,EOS/USD,4.1429,4.5014,4.1261,4.3278,12428227.10146574,2871719.37276809
1616112000000,2021-03-19 00:00:00,EOS/USD,4.1408,4.2691,4.02671446,4.1438,6111057.090271018,1474747.11382572
1616025600000,2021-03-18 00:00:00,EOS/USD,4.0863,4.3257,4.0597,4.1418,10242168.022988439,2472878.46419152
1615939200000,2021-03-17 00:00:00,EOS/USD,4.0655,4.0862,3.8474,4.083,5354498.979497864,1311412.92664655
1615852800000,2021-03-16 00:00:00,EOS/USD,3.8289,4.13,3.6748,4.0653,14962002.894598698,3680417.90140917
1615766400000,2021-03-15 00:00:00,EOS/USD,3.9241,4.0317,3.71360222,3.8191,14382281.2683416,3765882.34619193
1615680000000,2021-03-14 00:00:00,EOS/USD,4.284,4.3896,3.9247,3.9247,11061387.953027865,2818403.43288095
1615593600000,2021-03-13 00:00:00,EOS/USD,3.791,4.3903,3.6859,4.2844,15064919.23769256,3516226.13147525
1615507200000,2021-03-12 00:00:00,EOS/USD,3.961,3.995,3.6825,3.7908,12289236.836411193,3241858.40361169
1615420800000,2021-03-11 00:00:00,EOS/USD,4.0045,4.0488,3.8175,3.9562,5820305.705048189,1471185.91199843
1615334400000,2021-03-10 00:00:00,EOS/USD,4.1783,4.1887,3.8957,3.995,7038702.437626337,1761877.95685265
1615248000000,2021-03-09 00:00:00,EOS/USD,3.896,4.1866,3.8514,4.1698,8577270.799284354,2056998.12923506
1615161600000,2021-03-08 00:00:00,EOS/USD,3.83458107,3.9279,3.7364,3.896,4391919.808131159,1127289.47847309
1615075200000,2021-03-07 00:00:00,EOS/USD,3.7242,3.8467,3.7131,3.8373,2402994.18903591,626220.04769914
1614988800000,2021-03-06 00:00:00,EOS/USD,3.7087,3.77418521,3.6003,3.7213,2545671.3809804833,684081.20306895
1614902400000,2021-03-05 00:00:00,EOS/USD,3.75253512,3.7562,3.5591,3.705,10036517.595193336,2708911.63163113
1614816000000,2021-03-04 00:00:00,EOS/USD,3.8243,3.9286,3.6397,3.7547,8674309.505258089,2310253.68345223
1614729600000,2021-03-03 00:00:00,EOS/USD,3.6694,4.0637,3.6493,3.83169516,9825641.061907921,2564306.5670986
1614643200000,2021-03-02 00:00:00,EOS/USD,3.7071,3.8459,3.5672,3.6722,6073738.453561939,1653978.12035345
1614556800000,2021-03-01 00:00:00,EOS/USD,3.48748079,3.759,3.4596,3.7025,5429466.091432078,1466432.43522811
1614470400000,2021-02-28 00:00:00,EOS/USD,3.6656,3.701,3.2571,3.48373289,12359821.214470496,3547867.07383599
1614384000000,2021-02-27 00:00:00,EOS/USD,3.5509,3.83977421,3.54304189,3.6771,10777758.278772844,2931048.45633049
1614297600000,2021-02-26 00:00:00,EOS/USD,3.6709,3.76658787,3.3954,3.549,17318911.042379424,4879941.12211311
1614211200000,2021-02-25 00:00:00,EOS/USD,3.8862,4.0958,3.624,3.6749,12030380.675159687,3273662.05207208
1614124800000,2021-02-24 00:00:00,EOS/USD,3.8522,4.1396,3.6752,3.8909,13627558.632099861,3502418.1120306
1614038400000,2021-02-23 00:00:00,EOS/USD,4.6897,4.7135,3.1784,3.8493,83175432.26962095,21607937.09755565
1613952000000,2021-02-22 00:00:00,EOS/USD,5.0999,5.3059,4.11,4.682,59147304.64885939,12632914.27784267
1613865600000,2021-02-21 00:00:00,EOS/USD,4.8356,5.3637,4.7284,5.0936,18366217.14021918,3605743.90219475
1613779200000,2021-02-20 00:00:00,EOS/USD,5.2272,5.44,4.4797,4.8303,36859178.08244481,7630825.84569174
1613692800000,2021-02-19 00:00:00,EOS/USD,4.8203,5.3713,4.6351,5.2286,30111708.377660476,5759038.43814032
1613606400000,2021-02-18 00:00:00,EOS/USD,4.84,4.987,4.661,4.819,16399964.074717987,3403188.22882714
1613520000000,2021-02-17 00:00:00,EOS/USD,4.6636,4.8932,4.4234,4.8384,18413872.140797358,3805777.1455021
1613433600000,2021-02-16 00:00:00,EOS/USD,4.7207,4.9739,4.401,4.6504,30266252.93674692,6508311.74452669
1613347200000,2021-02-15 00:00:00,EOS/USD,5.0725,5.2413,4.1,4.7098,55741448.007811725,11835204.89358608
1613260800000,2021-02-14 00:00:00,EOS/USD,5.5501,5.6118,4.87,5.0665,41634382.99282463,8217582.74801631
1613174400000,2021-02-13 00:00:00,EOS/USD,4.7642,5.5625,4.4803,5.5625,59390269.051827244,10676902.30145209
1613088000000,2021-02-12 00:00:00,EOS/USD,4.581,4.8387,4.2284,4.75382303,28258594.262971118,5944393.4039276
1613001600000,2021-02-11 00:00:00,EOS/USD,4.1326,4.6784,4.0053,4.5811,35632069.2665089,7778059.69450763
1612915200000,2021-02-10 00:00:00,EOS/USD,4.1722,4.5336,3.6577,4.1302,51714169.22674785,12520984.26873949
1612828800000,2021-02-09 00:00:00,EOS/USD,3.608,4.3115,3.4824,4.1722,37954970.66168523,9097111.99407632
1612742400000,2021-02-08 00:00:00,EOS/USD,3.4418,3.6079,3.35,3.6079,14081829.86016917,3903054.36962476
1612656000000,2021-02-07 00:00:00,EOS/USD,3.2096,3.6,3.0303,3.4424,30130226.958642617,8752680.38538305
1612569600000,2021-02-06 00:00:00,EOS/USD,3.3115,3.32738926,3.1345,3.2145,7759187.395614302,2413808.4914028
1612483200000,2021-02-05 00:00:00,EOS/USD,3.0232,3.3764,3.0132,3.3125,16025135.509764152,4837776.75766465
1612396800000,2021-02-04 00:00:00,EOS/USD,3.07,3.15189957,2.9869,3.0271,6207202.296169138,2050544.18293718
1612310400000,2021-02-03 00:00:00,EOS/USD,3.0044,3.1483,2.99117203,3.0694,6294060.937078673,2050583.48116201
1612224000000,2021-02-02 00:00:00,EOS/USD,3.0571,3.0823,2.9613,3.0066,4335049.229657141,1441844.35231063
1612137600000,2021-02-01 00:00:00,EOS/USD,2.9353,3.279,2.8926,3.0608,17320188.95913138,5658713.06819504
1612051200000,2021-01-31 00:00:00,EOS/USD,2.9333,3.0744,2.80497588,2.9307,12727558.835222991,4342839.19719623
1611964800000,2021-01-30 00:00:00,EOS/USD,2.73385014,3.099,2.68772765,2.9329,14511656.595552491,4947886.59536721
1611878400000,2021-01-29 00:00:00,EOS/USD,2.7085,2.91,2.6513,2.72729589,8769971.40319481,3215628.87083543
1611792000000,2021-01-28 00:00:00,EOS/USD,2.5047,2.8,2.484,2.7051,6662822.820623258,2463059.70966813
1611705600000,2021-01-27 00:00:00,EOS/USD,2.6279,2.6285,2.4664,2.5041,2671311.5374087277,1066775.10379327
1611619200000,2021-01-26 00:00:00,EOS/USD,2.6458,2.6744,2.5558,2.6304,2636361.330126183,1002266.32075965
1611532800000,2021-01-25 00:00:00,EOS/USD,2.7193,2.7708,2.632,2.6497,5223902.907453938,1971507.30552664
1611446400000,2021-01-24 00:00:00,EOS/USD,2.7042,2.7776,2.6521,2.7194,3824708.149468286,1406452.94898444
1611360000000,2021-01-23 00:00:00,EOS/USD,2.6196,2.7861,2.5801,2.7044,3355657.607039136,1240814.08336013
1611273600000,2021-01-22 00:00:00,EOS/USD,2.5472,2.68,2.4255,2.6312,4169717.398600468,1584720.811265
1611187200000,2021-01-21 00:00:00,EOS/USD,2.7841,2.7860799,2.4971,2.5455,3664857.8208022006,1439739.8628176
1611100800000,2021-01-20 00:00:00,EOS/USD,2.7894,2.8261,2.6553,2.7742,4033806.1914682477,1454043.0363594
1611014400000,2021-01-19 00:00:00,EOS/USD,2.8187,2.9365,2.7874,2.7948,4958347.215671967,1774133.10994417
1610928000000,2021-01-18 00:00:00,EOS/USD,2.7711,2.8438,2.7068,2.8186,2604791.5234168223,924143.73214249
1610841600000,2021-01-17 00:00:00,EOS/USD,2.7801,2.809,2.6849,2.7687,2546691.4473470175,919814.87605989
1610755200000,2021-01-16 00:00:00,EOS/USD,2.7609,2.8849,2.7041,2.77913001,7571938.153968308,2724571.40426054
1610668800000,2021-01-15 00:00:00,EOS/USD,2.8072,2.9322,2.5804,2.7589,6618801.315712327,2399072.57084792
1610582400000,2021-01-14 00:00:00,EOS/USD,2.7763,2.85516597,2.6886,2.811,5613425.997706052,1996949.83909856
1610496000000,2021-01-13 00:00:00,EOS/USD,2.5984,2.791,2.5272,2.7663,7721851.09422727,2791400.46062512
1610409600000,2021-01-12 00:00:00,EOS/USD,2.67,2.7724,2.5332,2.5968,5290131.34597563,2037173.19238125
1610323200000,2021-01-11 00:00:00,EOS/USD,3.0681,3.0702,2.3895,2.66623703,26070695.759274453,9778086.29387855
1610236800000,2021-01-10 00:00:00,EOS/USD,3.6239,3.92,2.8529,3.0605,52075531.40409755,17015367.22891604
1610150400000,2021-01-09 00:00:00,EOS/USD,3.1041,3.74,3.0108,3.6239,20878232.062842496,5761260.53777491
1610064000000,2021-01-08 00:00:00,EOS/USD,3.1939,3.2645,2.8934,3.1112,12954041.264887469,4163680.01571338
1609977600000,2021-01-07 00:00:00,EOS/USD,3.3817,3.4558,3.0423,3.1895,19878508.279712602,6232484.17611306
1609891200000,2021-01-06 00:00:00,EOS/USD,2.891,3.4596,2.8494,3.3711,27983111.789065216,8300884.51516277
1609804800000,2021-01-05 00:00:00,EOS/USD,2.8203,2.9571,2.7102,2.891,6438088.567711272,2226941.73909072
1609718400000,2021-01-04 00:00:00,EOS/USD,2.7962,3.12,2.6,2.8203,25050813.953774188,8882322.43157614
1609632000000,2021-01-03 00:00:00,EOS/USD,2.6321,2.8566,2.578,2.7936,9256921.496441755,3313617.37415584
1609545600000,2021-01-02 00:00:00,EOS/USD,2.638,2.7227,2.559,2.6322,8141092.350050685,3092885.17211864
