https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ETC
1618272000000,2021-04-13 00:00:00,ETC/USD,19.581,19.709,19.407,19.651,44489.0054144033,2263.9563083
1618185600000,2021-04-12 00:00:00,ETC/USD,20.414,20.567,19.012,19.556,938391.6742202318,47984.84732155
1618099200000,2021-04-11 00:00:00,ETC/USD,20.466,21.46,19.926,20.4,1772016.264489984,86863.54237696
1618012800000,2021-04-10 00:00:00,ETC/USD,18.766,21.092,18.368,20.449,2496366.1579798716,122077.66433468
1617926400000,2021-04-09 00:00:00,ETC/USD,19.619,20.075,18.573,18.769,735742.7314088246,39199.88978682
1617840000000,2021-04-08 00:00:00,ETC/USD,19.109,19.804,18.042,19.536,1801652.636052815,92222.18653014
1617753600000,2021-04-07 00:00:00,ETC/USD,17.787,20.69,17.024,19.1,12875915.79658689,674131.71709879
1617667200000,2021-04-06 00:00:00,ETC/USD,16.046,18.478,15.967,17.752,5128980.141135386,288924.07284449
1617580800000,2021-04-05 00:00:00,ETC/USD,14.542,16.097,14.3,16.034,1975855.676693524,123229.11791777
1617494400000,2021-04-04 00:00:00,ETC/USD,13.472,14.549,13.331,14.536,803502.7360987153,55276.74298973
1617408000000,2021-04-03 00:00:00,ETC/USD,15.254,15.323,13.417,13.484,839401.0141549056,62251.63261309
1617321600000,2021-04-02 00:00:00,ETC/USD,14.393,15.6,14.07,15.26,1946555.5170288584,127559.33925484
1617235200000,2021-04-01 00:00:00,ETC/USD,14.15,14.45,13.539,14.317,1394355.2643829791,97391.58094454
1617148800000,2021-03-31 00:00:00,ETC/USD,13.023,14.339,12.64,14.091,1408266.622830153,99940.85748564
1617062400000,2021-03-30 00:00:00,ETC/USD,12.648,13.067,12.367,13.003,584315.6120663228,44936.98470094
1616976000000,2021-03-29 00:00:00,ETC/USD,11.874,12.784,11.721,12.631,364392.7970276829,28849.08534777
1616889600000,2021-03-28 00:00:00,ETC/USD,11.798,12.079,11.733,11.868,111311.58057673332,9379.13553899
1616803200000,2021-03-27 00:00:00,ETC/USD,11.755,12.019,11.459,11.798,184241.76773960507,15616.35597047
1616716800000,2021-03-26 00:00:00,ETC/USD,11.091,11.752,11.091,11.735,174134.6613587269,14838.91447454
1616630400000,2021-03-25 00:00:00,ETC/USD,11.3,11.493,10.76,11.119,334244.866172913,30060.69486221
1616544000000,2021-03-24 00:00:00,ETC/USD,12.214,12.607,11.059,11.311,449162.54651128897,39710.24193363
1616457600000,2021-03-23 00:00:00,ETC/USD,11.676,12.647,11.603,12.232,631167.2507960511,51599.6771416
1616371200000,2021-03-22 00:00:00,ETC/USD,11.992,12.395,11.54,11.679,358722.6206502032,30715.18286242
1616284800000,2021-03-21 00:00:00,ETC/USD,12.282,12.434,11.94,11.972,360102.41842121887,30078.71854504
1616198400000,2021-03-20 00:00:00,ETC/USD,12.253,12.88,12.21,12.306,498298.87162959995,40492.35101817
