https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ETH
1618272000000,2021-04-13 00:00:00,ETH/USD,2138.2,2158.54493853,2137.1,2153.7,1573278.441212187,730.50027451
1618185600000,2021-04-12 00:00:00,ETH/USD,2152.9,2203.9,2101.9,2138.2,107495319.92214376,50273.74423447
1618099200000,2021-04-11 00:00:00,ETH/USD,2136.7,2166.9,2115.6,2152.8,73893301.9309134,34324.27625925
1618012800000,2021-04-10 00:00:00,ETH/USD,2067.4,2200.0,2059.1,2136.1,159245621.58201066,74549.70346988
1617926400000,2021-04-09 00:00:00,ETH/USD,2081.3,2100.6,2051.8,2067.4,138013201.31582144,66756.89335195
1617840000000,2021-04-08 00:00:00,ETH/USD,1964.6,2084.0,1950.0,2081.4,66267495.053450175,31837.94323698
1617753600000,2021-04-07 00:00:00,ETH/USD,2112.7,2127.9,1930.0,1964.9,146225098.6099172,74418.59565877
1617667200000,2021-04-06 00:00:00,ETH/USD,2108.3,2151.3,2042.1,2112.1,123860654.27718635,58643.36644912
1617580800000,2021-04-05 00:00:00,ETH/USD,2077.5,2131.6,1998.7,2107.4,139743141.83486232,66310.68702423
1617494400000,2021-04-04 00:00:00,ETH/USD,2007.1,2092.0,1979.6,2077.4,87653312.91461197,42193.75802186
1617408000000,2021-04-03 00:00:00,ETH/USD,2133.1,2137.6,2001.0,2007.6,151386009.4668238,75406.46018471
1617321600000,2021-04-02 00:00:00,ETH/USD,1967.8,2142.7,1948.8,2133.1,183527608.7235763,86037.97699291
1617235200000,2021-04-01 00:00:00,ETH/USD,1919.3,1982.0,1888.0,1967.8,122196878.20290715,62098.22045071
1617148800000,2021-03-31 00:00:00,ETH/USD,1843.9,1948.52489247,1772.3,1919.3,121423038.9103188,63264.23118341
1617062400000,2021-03-30 00:00:00,ETH/USD,1818.2,1861.0,1788.7,1843.9,54137437.00990374,29360.2890666
1616976000000,2021-03-29 00:00:00,ETH/USD,1687.2,1839.0,1677.1,1818.2,126590415.3056396,69624.03217778
1616889600000,2021-03-28 00:00:00,ETH/USD,1713.8,1727.7,1662.2,1687.2,31129466.043861024,18450.37105492
1616803200000,2021-03-27 00:00:00,ETH/USD,1698.5,1733.8,1667.4,1713.9,42690284.83637834,24908.27051542
1616716800000,2021-03-26 00:00:00,ETH/USD,1587.1,1699.0,1587.1,1698.5,117610231.1546024,69243.58619641
1616630400000,2021-03-25 00:00:00,ETH/USD,1585.8,1620.5,1548.3,1587.6,143550731.18749002,90419.96169532
1616544000000,2021-03-24 00:00:00,ETH/USD,1668.4,1740.9,1546.0,1585.8,257052972.3271234,162096.71605948
1616457600000,2021-03-23 00:00:00,ETH/USD,1682.0,1720.4,1650.6,1669.1,54889304.75015049,32885.56991801
1616371200000,2021-03-22 00:00:00,ETH/USD,1784.6,1808.29169634,1656.0,1682.0,167567490.12148252,99623.95369886
1616284800000,2021-03-21 00:00:00,ETH/USD,1804.7,1815.9,1745.26096753,1784.3,187500328.47193933,105083.41000501
1616198400000,2021-03-20 00:00:00,ETH/USD,1809.2,1871.97180834,1801.0,1804.6,48786938.04084764,27034.76562166
1616112000000,2021-03-19 00:00:00,ETH/USD,1775.4,1842.0159641,1733.3,1809.8,75943727.76496597,41962.49738367
1616025600000,2021-03-18 00:00:00,ETH/USD,1821.8524069,1849.2,1759.34360321,1775.3,67764213.24374954,38170.5701818
1615939200000,2021-03-17 00:00:00,ETH/USD,1804.9,1833.9,1741.8,1821.7,432320753.64086866,237317.20570943
1615852800000,2021-03-16 00:00:00,ETH/USD,1796.7,1824.2,1723.2,1805.0,318058925.18751705,176209.93085181
1615766400000,2021-03-15 00:00:00,ETH/USD,1847.96830749,1889.9,1735.59653136,1796.0,378936391.0386098,210989.08187005
1615680000000,2021-03-14 00:00:00,ETH/USD,1922.9,1933.0,1840.0,1847.96830749,97785383.43838356,52915.07600106
1615593600000,2021-03-13 00:00:00,ETH/USD,1768.9,1943.6,1730.0,1921.9,175666605.78717086,91402.57338424
1615507200000,2021-03-12 00:00:00,ETH/USD,1829.6,1845.7,1720.8,1768.7,135479354.94136354,76598.26705567
1615420800000,2021-03-11 00:00:00,ETH/USD,1797.6,1849.9,1730.9,1829.9,128258343.46777157,70090.35655925
1615334400000,2021-03-10 00:00:00,ETH/USD,1873.0,1879.2,1761.1,1796.8,231182826.02410185,128663.63870442
1615248000000,2021-03-09 00:00:00,ETH/USD,1833.4,1873.3,1801.0,1873.3,123588675.3858132,65973.77642973
1615161600000,2021-03-08 00:00:00,ETH/USD,1726.3,1841.8,1666.6,1833.6,148699662.56552947,81097.11091052
1615075200000,2021-03-07 00:00:00,ETH/USD,1650.2,1734.0,1632.7,1727.9,88460579.6131819,51195.42775229
1614988800000,2021-03-06 00:00:00,ETH/USD,1531.4780532,1670.7,1514.1,1650.6,441418381.1348439,267429.04467154
1614902400000,2021-03-05 00:00:00,ETH/USD,1540.9,1551.0,1445.1,1531.7,193980193.44824648,126643.72491235
1614816000000,2021-03-04 00:00:00,ETH/USD,1570.2,1626.6,1507.4,1539.28432632,177479873.96366236,115300.25410443
1614729600000,2021-03-03 00:00:00,ETH/USD,1490.2,1658.0,1478.1,1570.0,114192072.48811921,72733.80413256
1614643200000,2021-03-02 00:00:00,ETH/USD,1569.781015,1601.0,1457.8,1489.7,164458474.28710744,110397.04255025
1614556800000,2021-03-01 00:00:00,ETH/USD,1424.4,1571.3,1413.9,1569.8,280002707.9519022,178368.39594337
1614470400000,2021-02-28 00:00:00,ETH/USD,1459.9,1471.3,1296.5,1424.4,243558226.90804216,170990.04978099
1614384000000,2021-02-27 00:00:00,ETH/USD,1444.1,1527.1,1427.9,1460.9,114171463.53673457,78151.45700372
1614297600000,2021-02-26 00:00:00,ETH/USD,1485.3,1561.8,1400.1,1446.2,375816120.1804565,259864.55551131
1614211200000,2021-02-25 00:00:00,ETH/USD,1624.0,1672.3,1460.2,1485.8,254133890.28225186,171041.78912522
1614124800000,2021-02-24 00:00:00,ETH/USD,1576.6,1709.4,1499.1,1624.4,357275957.8324582,219943.33774468
1614038400000,2021-02-23 00:00:00,ETH/USD,1775.9,1779.8,1360.1,1577.0,737377829.8900586,467582.64419154
1613952000000,2021-02-22 00:00:00,ETH/USD,1932.4,1934.9,1550.0,1774.2,475758841.6979397,268154.00839699
1613865600000,2021-02-21 00:00:00,ETH/USD,1911.1,1978.7,1882.1,1932.9,154451592.57517827,79906.66489481
1613779200000,2021-02-20 00:00:00,ETH/USD,1955.7,2036.8,1780.0,1911.7,372492128.4037529,194848.63127256
1613692800000,2021-02-19 00:00:00,ETH/USD,1938.3,1971.1,1891.1,1955.4077796,252681312.85419756,129221.79991832
1613606400000,2021-02-18 00:00:00,ETH/USD,1848.7,1948.84596805,1848.7,1937.5,139298967.8077281,71896.24144915
1613520000000,2021-02-17 00:00:00,ETH/USD,1783.710981,1856.9,1735.3,1848.7,150939549.30439416,81646.31865873
1613433600000,2021-02-16 00:00:00,ETH/USD,1778.5,1828.3,1725.0,1784.6,189650857.61007205,106270.79323662
1613347200000,2021-02-15 00:00:00,ETH/USD,1801.3,1837.125887,1649.0,1779.42505123,295439897.3576038,166031.09928872
1613260800000,2021-02-14 00:00:00,ETH/USD,1816.8,1853.3,1781.3,1801.2,102773240.43907134,57058.20588445
1613174400000,2021-02-13 00:00:00,ETH/USD,1842.5,1874.1,1762.07929312,1814.80349814,144025109.9483704,79361.26974407
1613088000000,2021-02-12 00:00:00,ETH/USD,1787.1,1865.1,1740.0,1842.4,226943432.1878671,123178.15468295
1613001600000,2021-02-11 00:00:00,ETH/USD,1742.5,1821.9,1705.0,1787.7,164633016.89597982,92092.08306538
1612915200000,2021-02-10 00:00:00,ETH/USD,1771.8,1838.7,1678.1,1742.1,313010927.7482952,179674.48926485
1612828800000,2021-02-09 00:00:00,ETH/USD,1755.0,1826.9,1710.638776,1771.9,358946678.595429,202577.27783477
1612742400000,2021-02-08 00:00:00,ETH/USD,1613.4,1784.2,1563.4,1754.8452795,442605885.9262115,252219.32161012
1612656000000,2021-02-07 00:00:00,ETH/USD,1677.0,1692.7,1486.8,1611.99918993,288670741.07930464,179076.232099
1612569600000,2021-02-06 00:00:00,ETH/USD,1717.5,1742.7,1646.6,1676.9,199133718.94823363,118751.09961729
1612483200000,2021-02-05 00:00:00,ETH/USD,1596.2,1760.0,1590.8,1717.7,390792890.16384983,227509.39638112
1612396800000,2021-02-04 00:00:00,ETH/USD,1662.5,1695.8,1559.0,1595.1,309025085.75494,193733.98893796
1612310400000,2021-02-03 00:00:00,ETH/USD,1515.9,1667.1,1512.4,1663.1,397240089.0733658,238855.20357968
