https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ETP
1618272000000,2021-04-13 00:00:00,ETP/USD,0.37001,0.37001,0.36901,0.36901,1012.6884904778101,2744.338881
1618185600000,2021-04-12 00:00:00,ETP/USD,0.37801,0.4082,0.341,0.36921,97991.82908731396,265409.46639396
1618099200000,2021-04-11 00:00:00,ETP/USD,0.41845,0.41845,0.37401,0.378,52890.71196584448,139922.51842816
1618012800000,2021-04-10 00:00:00,ETP/USD,0.42398,0.44,0.38243,0.4188,77712.84029932752,185560.7457004
1617926400000,2021-04-09 00:00:00,ETP/USD,0.41394,0.43162,0.395,0.40906,47080.61969185157,115094.65528737
1617840000000,2021-04-08 00:00:00,ETP/USD,0.38165,0.42303,0.35196,0.40016,68297.06044440136,170674.38135846
1617753600000,2021-04-07 00:00:00,ETP/USD,0.40824,0.439,0.349,0.37339,147259.04285090743,394384.00292163
1617667200000,2021-04-06 00:00:00,ETP/USD,0.43,0.43,0.37701,0.40824,81837.3337907519,200463.78059659
1617580800000,2021-04-05 00:00:00,ETP/USD,0.42201,0.44107,0.3619,0.43,204009.4811000558,474440.65372106
1617494400000,2021-04-04 00:00:00,ETP/USD,0.4464,0.4464,0.42201,0.42211,40299.3782825723,95471.27119133
1617408000000,2021-04-03 00:00:00,ETP/USD,0.44881,0.46731,0.431,0.43112,54323.59097254888,126005.73151918
1617321600000,2021-04-02 00:00:00,ETP/USD,0.49555,0.499,0.4237,0.464,150429.67571943105,324201.88732636
1617235200000,2021-04-01 00:00:00,ETP/USD,0.45825,0.499,0.44693,0.49555,229902.78105259134,463934.57986599
1617148800000,2021-03-31 00:00:00,ETP/USD,0.42,0.4647,0.38,0.46245,195468.68387942208,422680.68738117
1617062400000,2021-03-30 00:00:00,ETP/USD,0.3617,0.42,0.3615,0.42,160160.4564040278,381334.42000959
1616976000000,2021-03-29 00:00:00,ETP/USD,0.3312,0.37503,0.3312,0.3748,82812.86841020532,220952.1569109
1616889600000,2021-03-28 00:00:00,ETP/USD,0.34201,0.35852,0.323,0.32932,44197.63476762399,134208.77798987
1616803200000,2021-03-27 00:00:00,ETP/USD,0.32702,0.34163,0.31202,0.34163,36687.07330585984,107388.32452027
1616716800000,2021-03-26 00:00:00,ETP/USD,0.30472,0.3369,0.297,0.32702,45316.384002112754,138573.73861572
1616630400000,2021-03-25 00:00:00,ETP/USD,0.30475,0.327,0.2725,0.30603,85870.56097382116,280595.23894331
1616544000000,2021-03-24 00:00:00,ETP/USD,0.35043,0.3688,0.29,0.30475,227231.16789263504,745631.39587411
1616457600000,2021-03-23 00:00:00,ETP/USD,0.29374,0.35043,0.28325,0.35043,362626.85366757336,1034805.39242523
1616371200000,2021-03-22 00:00:00,ETP/USD,0.25805,0.29374,0.25096,0.29374,146805.68149509747,499781.03593347
1616284800000,2021-03-21 00:00:00,ETP/USD,0.25586,0.269,0.24552,0.257,16133.78633130214,62777.37872102
1616198400000,2021-03-20 00:00:00,ETP/USD,0.25931,0.269,0.24305,0.25391,20685.23082894422,81466.78283228
1616112000000,2021-03-19 00:00:00,ETP/USD,0.25624,0.26794,0.24,0.25001,16245.576268966377,64979.70588763
1616025600000,2021-03-18 00:00:00,ETP/USD,0.25643,0.2705,0.251,0.25623,46815.683426957585,182709.61022112
1615939200000,2021-03-17 00:00:00,ETP/USD,0.23888,0.2565,0.23855,0.2565,38967.1026488451,151918.5288454
1615852800000,2021-03-16 00:00:00,ETP/USD,0.2499,0.25385,0.23511,0.23855,26198.57797763623,109824.26316343
1615766400000,2021-03-15 00:00:00,ETP/USD,0.25966,0.25966,0.2358,0.2499,26837.040494395005,107391.11842495
1615680000000,2021-03-14 00:00:00,ETP/USD,0.24891,0.268,0.24161,0.2511,20753.776964177956,82651.44151405
1615593600000,2021-03-13 00:00:00,ETP/USD,0.23451,0.28215,0.23252,0.24891,37011.26764007276,148693.37366949
1615507200000,2021-03-12 00:00:00,ETP/USD,0.25169,0.25499,0.23285,0.23451,27982.618805207912,119323.77640701
1615420800000,2021-03-11 00:00:00,ETP/USD,0.23249,0.257,0.2226,0.25146,81559.64355658094,324344.40291331
1615334400000,2021-03-10 00:00:00,ETP/USD,0.25,0.25,0.22992,0.233,45141.468328531475,193740.20741859
1615248000000,2021-03-09 00:00:00,ETP/USD,0.2499,0.25517,0.241,0.24651,24341.966848926066,98746.36667448
1615161600000,2021-03-08 00:00:00,ETP/USD,0.2421,0.25919,0.23901,0.2508,15368.100880031197,61276.31929837
1615075200000,2021-03-07 00:00:00,ETP/USD,0.24798,0.25919,0.233,0.2421,22551.472367157836,93149.41085154
1614988800000,2021-03-06 00:00:00,ETP/USD,0.25513,0.2634,0.2215,0.24943,24194.75562876368,97000.18293214
1614902400000,2021-03-05 00:00:00,ETP/USD,0.22763,0.26732,0.226,0.25513,81146.55812852514,318059.64852634
1614816000000,2021-03-04 00:00:00,ETP/USD,0.22304,0.235,0.21661,0.22763,24178.822936392986,106219.84332642
1614729600000,2021-03-03 00:00:00,ETP/USD,0.21661,0.245,0.21236,0.22303,38822.78885920454,174069.80612117
1614643200000,2021-03-02 00:00:00,ETP/USD,0.18799,0.23,0.187,0.21661,73503.75265666806,339336.83881939
1614556800000,2021-03-01 00:00:00,ETP/USD,0.18015,0.19711,0.1801,0.187,27016.0002758074,144470.5897102
1614470400000,2021-02-28 00:00:00,ETP/USD,0.18129,0.19,0.16808,0.18893,28609.167898406493,151427.34292281
1614384000000,2021-02-27 00:00:00,ETP/USD,0.18023,0.192,0.16811,0.18573,14063.833936446354,75721.92934069
1614297600000,2021-02-26 00:00:00,ETP/USD,0.18847,0.18847,0.17072,0.17812,29045.828502535813,163068.87773712
1614211200000,2021-02-25 00:00:00,ETP/USD,0.17428,0.1949,0.1684,0.17481,39587.38929200274,226459.52343689
1614124800000,2021-02-24 00:00:00,ETP/USD,0.18602,0.20756,0.16457,0.17396,40773.81051681196,234386.12621759
1614038400000,2021-02-23 00:00:00,ETP/USD,0.22304,0.23399,0.17836,0.19279,122114.67483971661,633407.72259825
1613952000000,2021-02-22 00:00:00,ETP/USD,0.25078,0.251,0.22,0.22189,72821.37713018504,328186.83640626003
1613865600000,2021-02-21 00:00:00,ETP/USD,0.2332,0.25499,0.23181,0.244,42397.457609545876,173760.07217027
1613779200000,2021-02-20 00:00:00,ETP/USD,0.25999,0.27299,0.23181,0.24593,67141.61844349255,273011.09439065
1613692800000,2021-02-19 00:00:00,ETP/USD,0.22105,0.26,0.2086,0.25048,89606.29055743117,357738.30468473
1613606400000,2021-02-18 00:00:00,ETP/USD,0.24534,0.24997,0.22,0.22101,44287.82758248679,200388.34252969
1613520000000,2021-02-17 00:00:00,ETP/USD,0.24099,0.244,0.223,0.244,63172.90138477992,258905.33354418
1613433600000,2021-02-16 00:00:00,ETP/USD,0.25839,0.26,0.2257,0.24099,57546.97780500432,238794.04873648
1613347200000,2021-02-15 00:00:00,ETP/USD,0.28791,0.293,0.21849,0.25634,123494.10338306816,481759.00516138
1613260800000,2021-02-14 00:00:00,ETP/USD,0.24534,0.29712,0.24063,0.28791,136165.06435639705,472943.15708519
1613174400000,2021-02-13 00:00:00,ETP/USD,0.20818,0.27001,0.2031,0.24711,161105.70688519493,651959.4791194
1613088000000,2021-02-12 00:00:00,ETP/USD,0.2121,0.224,0.20386,0.21024,36261.38301508838,172476.13686781
1613001600000,2021-02-11 00:00:00,ETP/USD,0.19283,0.21934,0.1851,0.21039,99430.2355860291,472599.62729231
1612915200000,2021-02-10 00:00:00,ETP/USD,0.19397,0.196,0.176,0.18468,88154.54604472207,477336.72322245
1612828800000,2021-02-09 00:00:00,ETP/USD,0.16568,0.195,0.1635,0.19398,114569.84833486262,590627.11792382
1612742400000,2021-02-08 00:00:00,ETP/USD,0.14709,0.1677,0.14301,0.1677,92069.61450906133,549013.80148516
1612656000000,2021-02-07 00:00:00,ETP/USD,0.13844,0.16,0.13202,0.1483,73470.95333084515,495421.12832667
1612569600000,2021-02-06 00:00:00,ETP/USD,0.13496,0.14,0.125,0.1395,30034.628171731307,215301.99406259
1612483200000,2021-02-05 00:00:00,ETP/USD,0.13237,0.13926,0.12303,0.134,37101.81695864579,276879.23103467
1612396800000,2021-02-04 00:00:00,ETP/USD,0.13702,0.1399,0.12579,0.13237,34316.57634121178,259247.3849151
1612310400000,2021-02-03 00:00:00,ETP/USD,0.13979,0.14,0.1,0.13443,92284.87040521453,686490.14658346
1612224000000,2021-02-02 00:00:00,ETP/USD,0.12388,0.1411,0.12099,0.1375,45258.81029540338,329154.98396657
