https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume NEO
1618272000000,2021-04-13 00:00:00,NEO/USD,64.579,64.852,64.284,64.738,8208.83731028524,126.80090998
1618185600000,2021-04-12 00:00:00,NEO/USD,64.057,65.011,60.685,64.735,2192473.9897337435,33868.44813059
1618099200000,2021-04-11 00:00:00,NEO/USD,61.8,66.795,60.984,63.971,2545355.6175738056,39789.21101083
1618012800000,2021-04-10 00:00:00,NEO/USD,60.99,63.369,59.578,61.667,1235694.4252825377,20038.17966307
1617926400000,2021-04-09 00:00:00,NEO/USD,63.265,63.404,60.147,60.795,701498.8013997412,11538.75814458
1617840000000,2021-04-08 00:00:00,NEO/USD,59.722,63.3,58.278,63.3,1603937.008000254,25338.65731438
1617753600000,2021-04-07 00:00:00,NEO/USD,63.18,68.354,56.22,59.756,8402230.563586237,140608.98593591
1617667200000,2021-04-06 00:00:00,NEO/USD,59.163,64.759,57.853,62.991,6499288.027014423,103178.04173635
1617580800000,2021-04-05 00:00:00,NEO/USD,54.612,59.606,51.627,59.093,6858855.282494953,116068.82849906
1617494400000,2021-04-04 00:00:00,NEO/USD,50.613,54.625,49.809,54.625,1044532.0990133912,19121.86908949
1617408000000,2021-04-03 00:00:00,NEO/USD,52.942,56.544,50.535,50.641,4192722.1483751796,82793.03624287
1617321600000,2021-04-02 00:00:00,NEO/USD,52.44,55.212,51.091,53.083,3191353.01028348,60120.05746253
1617235200000,2021-04-01 00:00:00,NEO/USD,50.833,53.8,50.299,52.383,3853133.1956312503,73556.9401453
1617148800000,2021-03-31 00:00:00,NEO/USD,44.98,52.161,42.613,50.752,7312202.781995796,144077.13552167
1617062400000,2021-03-30 00:00:00,NEO/USD,45.625,46.1,44.257,45.045,594353.3193474377,13194.656884170001
1616976000000,2021-03-29 00:00:00,NEO/USD,44.74,46.501,43.428,45.58,1103882.8344185408,24218.57907895
1616889600000,2021-03-28 00:00:00,NEO/USD,41.123,45.003,40.951,44.716,1969185.542751921,44037.6049457
1616803200000,2021-03-27 00:00:00,NEO/USD,41.657,42.648,40.339,41.074,613946.1220036704,14947.31757325
1616716800000,2021-03-26 00:00:00,NEO/USD,38.862,41.95,38.737,41.66,710798.9845635206,17061.90553441
1616630400000,2021-03-25 00:00:00,NEO/USD,39.4492965,40.9,37.632,38.74,1849784.042299669,47748.68462312
1616544000000,2021-03-24 00:00:00,NEO/USD,41.095,45.365,37.908,39.606,3985171.787539515,100620.40568448
1616457600000,2021-03-23 00:00:00,NEO/USD,40.716,42.38,40.02,41.1,844845.9126202231,20555.86162093
1616371200000,2021-03-22 00:00:00,NEO/USD,42.479,44.2,40.247,40.682,1238361.4098762732,30440.03268955
1616284800000,2021-03-21 00:00:00,NEO/USD,42.86,43.483,41.1,42.475,530828.0571692775,12497.4233589
1616198400000,2021-03-20 00:00:00,NEO/USD,43.995,45.492,42.86,42.944,1144409.1693873839,26648.87223797
1616112000000,2021-03-19 00:00:00,NEO/USD,43.647,45.595,42.378,43.995,948418.8618685168,21557.42384063
