https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume OMG
1618272000000,2021-04-13 00:00:00,OMG/USD,9.3871,9.4459,9.3432,9.3585,2006.6261452065748,214.41749695
1618185600000,2021-04-12 00:00:00,OMG/USD,9.6579,9.7344,9.0947,9.3613,1774211.5857589697,189526.19676316
1618099200000,2021-04-11 00:00:00,OMG/USD,10.081,10.152,9.4139,9.6446,2465832.595211234,255669.76289439
1618012800000,2021-04-10 00:00:00,OMG/USD,10.454,11.33,9.6512,10.065,3303786.7717771055,328245.08413086
1617926400000,2021-04-09 00:00:00,OMG/USD,10.239,11.144,9.5242,10.414,3908880.049468022,375348.57398387
1617840000000,2021-04-08 00:00:00,OMG/USD,9.9448,10.276,9.004,10.224,2480800.166027231,242644.77367246
1617753600000,2021-04-07 00:00:00,OMG/USD,9.3414,11.25,8.6564,9.9402,13334008.705997292,1341422.57761386
1617667200000,2021-04-06 00:00:00,OMG/USD,8.7191,9.6184,8.1912,9.3008,10811985.5969198,1162479.09824099
1617580800000,2021-04-05 00:00:00,OMG/USD,7.882,8.7672,7.882,8.6988,7816171.367946441,898534.43784734
1617494400000,2021-04-04 00:00:00,OMG/USD,6.7267,8.0168,6.6183,7.8357,3107476.8192665046,396579.3508259
1617408000000,2021-04-03 00:00:00,OMG/USD,7.532,7.5355,6.7104,6.7555,1849538.5296134665,273782.62595122
1617321600000,2021-04-02 00:00:00,OMG/USD,7.3848,7.7,7.0851,7.5372,3755481.46092931,498259.49436519
1617235200000,2021-04-01 00:00:00,OMG/USD,7.9151,8.086,7.3252,7.3814,2868181.332463105,388568.74474532
1617148800000,2021-03-31 00:00:00,OMG/USD,6.6239,8.3789,6.5,7.8896,13381669.144099226,1696115.03043237
1617062400000,2021-03-30 00:00:00,OMG/USD,6.8009,7.3305,6.5811,6.624,2722535.319882076,411010.76689041
1616976000000,2021-03-29 00:00:00,OMG/USD,5.8967,7.1616,5.8505,6.783,6542226.478642665,964503.38768136
1616889600000,2021-03-28 00:00:00,OMG/USD,5.3396,6.2,5.256,5.8639,4120528.1309801266,702694.13376424
1616803200000,2021-03-27 00:00:00,OMG/USD,5.3076,5.47,5.1873,5.3268,1768502.2109989985,332000.8656227
1616716800000,2021-03-26 00:00:00,OMG/USD,4.9611,5.3194,4.9611,5.3036,447804.38765640854,84434.04247236
1616630400000,2021-03-25 00:00:00,OMG/USD,5.0732,5.1289,4.6883,4.961,1564116.0360755844,315282.41001322
1616544000000,2021-03-24 00:00:00,OMG/USD,5.7488,5.92,4.9097,5.1,3535609.4601439973,693256.75689098
1616457600000,2021-03-23 00:00:00,OMG/USD,5.2733,5.7999,5.1521,5.7449,998987.4676863208,173891.18482242
1616371200000,2021-03-22 00:00:00,OMG/USD,5.5778,5.8606,5.2298,5.2767,918927.4201320341,174148.12669509999
1616284800000,2021-03-21 00:00:00,OMG/USD,5.6696,5.7352,5.3755,5.573,936311.8915134727,168008.59348887
1616198400000,2021-03-20 00:00:00,OMG/USD,5.9081,6.0462,5.6417,5.6849,1339452.3371378654,235615.81331912
1616112000000,2021-03-19 00:00:00,OMG/USD,6.078,6.35,5.8415,5.9132,2105868.6095785643,356130.11729327
1616025600000,2021-03-18 00:00:00,OMG/USD,5.5925,6.1973,5.5121,6.0822,4540745.869227592,746563.06422472
1615939200000,2021-03-17 00:00:00,OMG/USD,5.1968,5.6152,5.0422,5.5943,2034212.7138009225,363622.38596445
1615852800000,2021-03-16 00:00:00,OMG/USD,5.0436,5.1962,4.7709,5.1863,635579.9124323179,122549.77776687
1615766400000,2021-03-15 00:00:00,OMG/USD,5.0675,5.3185,4.808,5.0275,1671338.8905149885,332439.36161412
1615680000000,2021-03-14 00:00:00,OMG/USD,5.3273,5.4337,5.0687,5.0687,812833.8731354274,160363.38176168
1615593600000,2021-03-13 00:00:00,OMG/USD,5.0939,5.391,4.8412,5.3221,1294318.3404803409,243196.92235778001
1615507200000,2021-03-12 00:00:00,OMG/USD,5.2409,5.4749,4.9341,5.1146,1838378.498668093,359437.39464828
1615420800000,2021-03-11 00:00:00,OMG/USD,5.0714,5.2345,4.7862,5.2345,880233.3272733524,168159.96318146
1615334400000,2021-03-10 00:00:00,OMG/USD,5.4299,5.4482,4.9806,5.0785,1838426.013516916,362001.77483842
1615248000000,2021-03-09 00:00:00,OMG/USD,5.1836,5.5412,5.1,5.4168,1599670.0698312873,295316.43587197
1615161600000,2021-03-08 00:00:00,OMG/USD,5.143,5.2417,4.9127,5.1807,633437.82667092,122268.7719171
1615075200000,2021-03-07 00:00:00,OMG/USD,5.0918,5.2425,4.9012,5.143,561868.2995953126,109249.13466757
1614988800000,2021-03-06 00:00:00,OMG/USD,4.6393,5.25,4.5176,5.0714,1628254.5450522911,321066.0853122
1614902400000,2021-03-05 00:00:00,OMG/USD,4.6375,4.6853,4.324,4.6329,942027.1954247814,203334.23890539
1614816000000,2021-03-04 00:00:00,OMG/USD,4.8452,4.9753,4.5199,4.6607,711753.1080848436,152713.77863515
1614729600000,2021-03-03 00:00:00,OMG/USD,4.667,4.9947,4.6113,4.8452,1543548.5811072178,318572.7278765
1614643200000,2021-03-02 00:00:00,OMG/USD,4.6124,4.9377,4.4446,4.6605,1532888.6077318667,328910.76230702
1614556800000,2021-03-01 00:00:00,OMG/USD,4.2955,4.674,4.2131,4.6107,1116634.0438987853,242183.19211807
1614470400000,2021-02-28 00:00:00,OMG/USD,4.4805,4.5549,3.9439,4.2806,1076404.4882622915,251461.12420275
1614384000000,2021-02-27 00:00:00,OMG/USD,4.446,4.7192,4.4011,4.4907,730311.5199397774,162627.5458035
1614297600000,2021-02-26 00:00:00,OMG/USD,4.5456,4.6725,4.0852,4.4302,2032217.6749581113,458719.17181123
1614211200000,2021-02-25 00:00:00,OMG/USD,4.7313,5.0911,4.5018,4.5337,2445426.4042059463,539388.66802081
1614124800000,2021-02-24 00:00:00,OMG/USD,4.6854,5.1406,4.4104,4.7363,3419800.485107786,722040.51371488
1614038400000,2021-02-23 00:00:00,OMG/USD,5.5474,5.589,3.7704,4.6885,11074784.79332737,2362116.83765114
1613952000000,2021-02-22 00:00:00,OMG/USD,6.3398,6.3428,4.6307,5.5462,8253076.910436037,1488059.73647471
1613865600000,2021-02-21 00:00:00,OMG/USD,6.2159,6.5154,6.0747,6.3283,1619944.344465623,255984.12598417
1613779200000,2021-02-20 00:00:00,OMG/USD,6.5362,6.9631,5.9362,6.2195,7372740.9959468525,1185423.42566876
1613692800000,2021-02-19 00:00:00,OMG/USD,6.5592,6.7835,6.2074,6.5415,3647475.113391852,557590.01962728
