https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume QTUM
1595030400,2020-07-18 00:00:00,QTUM/USD,2.377,2.411,2.305,2.404,1371.23,581.79
1594944000,2020-07-17 00:00:00,QTUM/USD,2.236,2.393,2.236,2.377,17689.49,7529.5
1594857600,2020-07-16 00:00:00,QTUM/USD,2.304,2.304,2.114,2.236,13362.34,5984.9
1594771200,2020-07-15 00:00:00,QTUM/USD,2.359,2.49,2.304,2.304,8530.92,3524.87
1594684800,2020-07-14 00:00:00,QTUM/USD,2.198,2.4,2.106,2.359,19203.45,8329.67
1594598400,2020-07-13 00:00:00,QTUM/USD,2.041,2.258,1.931,2.198,7503.26,3460.76
1594512000,2020-07-12 00:00:00,QTUM/USD,2.09,2.143,1.97,2.041,1172.06,591.71
1594425600,2020-07-11 00:00:00,QTUM/USD,2.02,2.09,2.02,2.09,2251.18,1108.58
1594339200,2020-07-10 00:00:00,QTUM/USD,2.119,2.123,1.96,2.02,6721.52,3303.2
1594252800,2020-07-09 00:00:00,QTUM/USD,2.025,2.16,1.97,2.119,11845.44,5694.83
1594166400,2020-07-08 00:00:00,QTUM/USD,1.824,2.12,1.813,2.025,13680.19,6918.28
1594080000,2020-07-07 00:00:00,QTUM/USD,1.826,1.826,1.731,1.824,2406.76,1356.74
1593993600,2020-07-06 00:00:00,QTUM/USD,1.785,1.826,1.759,1.826,14219.9,7989.78
1593907200,2020-07-05 00:00:00,QTUM/USD,1.677,1.785,1.641,1.785,8372.85,4956.6
1593820800,2020-07-04 00:00:00,QTUM/USD,1.633,1.687,1.609,1.677,6165.77,3721.67
1593734400,2020-07-03 00:00:00,QTUM/USD,1.651,1.676,1.633,1.633,15444.45,9324.45
1593648000,2020-07-02 00:00:00,QTUM/USD,1.647,1.681,1.597,1.651,11663.64,7076.41
1593561600,2020-07-01 00:00:00,QTUM/USD,1.633,1.686,1.597,1.647,9196.42,5644.53
1593475200,2020-06-30 00:00:00,QTUM/USD,1.662,1.736,1.625,1.635,4807.29,2916.45
1593388800,2020-06-29 00:00:00,QTUM/USD,1.619,1.686,1.602,1.662,13486.69,8242.74
1593302400,2020-06-28 00:00:00,QTUM/USD,1.58,1.644,1.561,1.608,11020.87,6848.44
1593216000,2020-06-27 00:00:00,QTUM/USD,1.68,1.716,1.523,1.58,16594.31,10508.71
1593129600,2020-06-26 00:00:00,QTUM/USD,1.715,1.715,1.651,1.68,7408.73,4390.5
1593043200,2020-06-25 00:00:00,QTUM/USD,1.726,1.734,1.663,1.715,3230.5,1893.03
1592956800,2020-06-24 00:00:00,QTUM/USD,1.807,1.831,1.696,1.741,19822.83,11345.13
1592870400,2020-06-23 00:00:00,QTUM/USD,1.826,1.843,1.77,1.807,15433.71,8533.86
1592784000,2020-06-22 00:00:00,QTUM/USD,1.729,1.83,1.729,1.826,4134.96,2345.87
1592697600,2020-06-21 00:00:00,QTUM/USD,1.676,1.794,1.655,1.729,5888.82,3439.1
1592611200,2020-06-20 00:00:00,QTUM/USD,1.691,1.691,1.633,1.676,1008.21,608.98
1592524800,2020-06-19 00:00:00,QTUM/USD,1.673,1.691,1.657,1.691,595.17,352.51
1592438400,2020-06-18 00:00:00,QTUM/USD,1.7,1.715,1.656,1.673,14170.01,8298.45
1592352000,2020-06-17 00:00:00,QTUM/USD,1.735,1.735,1.674,1.7,6548.6,3817.05
1592265600,2020-06-16 00:00:00,QTUM/USD,1.662,1.735,1.662,1.735,7963.98,4694.21
1592179200,2020-06-15 00:00:00,QTUM/USD,1.745,1.745,1.567,1.662,8995.61,5585.76
1592092800,2020-06-14 00:00:00,QTUM/USD,1.77,1.77,1.706,1.745,881.52,509.19
1592006400,2020-06-13 00:00:00,QTUM/USD,1.742,1.774,1.726,1.77,1596.82,918.4
1591920000,2020-06-12 00:00:00,QTUM/USD,1.692,1.777,1.692,1.742,11452.52,6553.17
1591833600,2020-06-11 00:00:00,QTUM/USD,1.865,1.943,1.634,1.692,12699.08,6794.84
1591747200,2020-06-10 00:00:00,QTUM/USD,1.806,1.866,1.799,1.865,6869.47,3766.48
1591660800,2020-06-09 00:00:00,QTUM/USD,1.823,1.827,1.801,1.812,8581.33,4739.66
1591574400,2020-06-08 00:00:00,QTUM/USD,1.804,1.832,1.804,1.823,11141.16,6109.26
1591488000,2020-06-07 00:00:00,QTUM/USD,1.841,1.845,1.705,1.804,3119.12,1751.41
1591401600,2020-06-06 00:00:00,QTUM/USD,1.804,1.88,1.771,1.841,8555.74,4679.22
1591315200,2020-06-05 00:00:00,QTUM/USD,1.812,1.825,1.785,1.804,9518.26,5281.79
1591228800,2020-06-04 00:00:00,QTUM/USD,1.824,1.87,1.778,1.812,7303.17,3951.74
1591142400,2020-06-03 00:00:00,QTUM/USD,1.787,1.826,1.773,1.824,2181.1,1208.09
1591056000,2020-06-02 00:00:00,QTUM/USD,1.881,1.93,1.695,1.787,20560.05,11314.91
1590969600,2020-06-01 00:00:00,QTUM/USD,1.726,1.902,1.726,1.881,9446.52,5104.06
1590883200,2020-05-31 00:00:00,QTUM/USD,1.8,1.85,1.726,1.726,14177.4,8041.73
1590796800,2020-05-30 00:00:00,QTUM/USD,1.689,1.8,1.671,1.8,9932.47,5685.35
1590710400,2020-05-29 00:00:00,QTUM/USD,1.672,1.734,1.668,1.689,3817.97,2246.06
1590624000,2020-05-28 00:00:00,QTUM/USD,1.637,1.68,1.635,1.672,6010.36,3626.33
