https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume TRX
1618272000000,2021-04-13 00:00:00,TRX/USD,0.12906,0.13062,0.12874,0.13029,22964.468560989855,176256.57042743
1618185600000,2021-04-12 00:00:00,TRX/USD,0.12226,0.1375,0.12171,0.129,5657465.016849557,43856317.96007408
1618099200000,2021-04-11 00:00:00,TRX/USD,0.12669,0.12687,0.11786,0.1223,1878996.007344632,15363826.71581874
1618012800000,2021-04-10 00:00:00,TRX/USD,0.11576,0.12775,0.11252,0.12666,3183460.9708384206,25133909.4492217
1617926400000,2021-04-09 00:00:00,TRX/USD,0.12352,0.12517,0.11439,0.11574,1465553.6768967265,12662464.80816249
1617840000000,2021-04-08 00:00:00,TRX/USD,0.11033,0.1259,0.11,0.12353,5180736.209273606,41939093.41272246
1617753600000,2021-04-07 00:00:00,TRX/USD,0.12422,0.12562,0.10371,0.11044,7937564.750400191,71872190.78594886
1617667200000,2021-04-06 00:00:00,TRX/USD,0.1366,0.13877,0.111,0.12414,17113982.082209412,137860335.76775748
1617580800000,2021-04-05 00:00:00,TRX/USD,0.1283,0.14906,0.12586,0.13672,7894421.774651518,57741528.48633351
1617494400000,2021-04-04 00:00:00,TRX/USD,0.10089,0.1284,0.099718,0.1277,7715775.661696092,60421109.33199759
1617408000000,2021-04-03 00:00:00,TRX/USD,0.09234,0.11137,0.088045,0.1014,9722271.409179332,95880388.65068375
1617321600000,2021-04-02 00:00:00,TRX/USD,0.085475,0.09241,0.084327,0.092319,1897524.2071849857,20553994.38019244
1617235200000,2021-04-01 00:00:00,TRX/USD,0.093109,0.094571,0.082321,0.085412,6896145.215498005,80739769.76886158
1617148800000,2021-03-31 00:00:00,TRX/USD,0.066057,0.097499,0.065664,0.093105,26291881.85547522,282389580.1028433
1617062400000,2021-03-30 00:00:00,TRX/USD,0.06476,0.066813,0.064255,0.066062,1261870.0157255153,19101299.01797577
1616976000000,2021-03-29 00:00:00,TRX/USD,0.06371,0.06593,0.063247,0.064831,1130323.3369596335,17434920.59292057
1616889600000,2021-03-28 00:00:00,TRX/USD,0.063697,0.064744,0.062001,0.063634,845852.7067781972,13292464.82663666
1616803200000,2021-03-27 00:00:00,TRX/USD,0.064731,0.067666,0.062794,0.063707,954869.5906829739,14988456.38129207
1616716800000,2021-03-26 00:00:00,TRX/USD,0.05534102,0.066173,0.05534102,0.064692,1960637.7272101943,30307267.16147583
1616630400000,2021-03-25 00:00:00,TRX/USD,0.055704,0.056234,0.053198,0.0555,664366.2184103683,11970562.49388051
1616544000000,2021-03-24 00:00:00,TRX/USD,0.058596,0.062264,0.054393,0.055911,1051070.155457664,18798986.88017857
1616457600000,2021-03-23 00:00:00,TRX/USD,0.059328,0.061414,0.057501,0.058596,1874907.917166282,31997199.76050041
1616371200000,2021-03-22 00:00:00,TRX/USD,0.063463,0.06625,0.058845,0.059278,2915123.3389316774,49177154.06949758
1616284800000,2021-03-21 00:00:00,TRX/USD,0.0606,0.064455,0.058633,0.063205,2930180.725859008,46359951.36237652
1616198400000,2021-03-20 00:00:00,TRX/USD,0.058668,0.068368,0.058668,0.060614,5237183.266205622,86402205.2035111
1616112000000,2021-03-19 00:00:00,TRX/USD,0.053221,0.059506,0.052135,0.058612,2398600.7910650647,40923373.90065285
1616025600000,2021-03-18 00:00:00,TRX/USD,0.054734,0.055148,0.052929,0.053229,2117785.002880362,39786300.75485848
1615939200000,2021-03-17 00:00:00,TRX/USD,0.052421,0.055799,0.051962,0.054877,3060311.1010546163,55766734.71681426
1615852800000,2021-03-16 00:00:00,TRX/USD,0.050847,0.053049,0.049201,0.052319,2040583.470848381,39002723.11872133
1615766400000,2021-03-15 00:00:00,TRX/USD,0.051034,0.052155,0.048324,0.050753,4412882.937766018,86948218.58345357
1615680000000,2021-03-14 00:00:00,TRX/USD,0.052947,0.053859,0.05102,0.051063,1979748.9668518533,38770713.95828395
1615593600000,2021-03-13 00:00:00,TRX/USD,0.050072,0.054199,0.048943,0.052874,2866786.486548526,54219209.56516485
1615507200000,2021-03-12 00:00:00,TRX/USD,0.051646,0.051761,0.048728,0.049966,2391376.340461778,47860071.65796297
1615420800000,2021-03-11 00:00:00,TRX/USD,0.051616,0.051939,0.049701,0.051573,2204381.0582186603,42742928.62968337
1615334400000,2021-03-10 00:00:00,TRX/USD,0.053293,0.053387,0.0505,0.051555,2936600.942676938,56960545.87677118
1615248000000,2021-03-09 00:00:00,TRX/USD,0.053074,0.053672,0.052066,0.053258,2179913.0856434223,40931185.65555264
1615161600000,2021-03-08 00:00:00,TRX/USD,0.051783,0.053333,0.050124,0.053005,2116199.7119338103,39924529.98648826
1615075200000,2021-03-07 00:00:00,TRX/USD,0.050176,0.051875,0.050001,0.05178699,1773758.7535502708,34251049.41511895
1614988800000,2021-03-06 00:00:00,TRX/USD,0.050372,0.050801,0.048682,0.050303,1987952.522068224,39519561.89627306
1614902400000,2021-03-05 00:00:00,TRX/USD,0.051445,0.051459,0.048555,0.050233,1943887.8490123174,38697426.97056352
1614816000000,2021-03-04 00:00:00,TRX/USD,0.048938,0.053466,0.0485,0.051471,2522178.495294909,49001933.03597966
1614729600000,2021-03-03 00:00:00,TRX/USD,0.04696,0.049699,0.046629,0.049034,1155209.0959135897,23559348.53190826
1614643200000,2021-03-02 00:00:00,TRX/USD,0.047859,0.0489,0.04554,0.046798,512874.4271822049,10959323.62883467
1614556800000,2021-03-01 00:00:00,TRX/USD,0.045729,0.048049,0.045124,0.047858,745444.1186011672,15576165.29318332
1614470400000,2021-02-28 00:00:00,TRX/USD,0.046484,0.046872,0.043328,0.045679,1251741.7417527966,27403002.29323752
1614384000000,2021-02-27 00:00:00,TRX/USD,0.0452,0.04839,0.045123,0.046636,994057.1724048606,21315232.27559955
1614297600000,2021-02-26 00:00:00,TRX/USD,0.045193,0.046818,0.042376,0.045031,2148005.437373681,47700593.75482847
1614211200000,2021-02-25 00:00:00,TRX/USD,0.047963,0.050057,0.045,0.04526524,1724578.7525811042,38099405.91458488
1614124800000,2021-02-24 00:00:00,TRX/USD,0.045092,0.049707,0.0433,0.048046,1997489.2534625158,41574517.20148432
1614038400000,2021-02-23 00:00:00,TRX/USD,0.054463,0.054549,0.038001,0.044963,5082702.462134535,113041889.15629596
1613952000000,2021-02-22 00:00:00,TRX/USD,0.059356,0.059509,0.047247,0.054211,7228177.898646325,133334155.40473935
1613865600000,2021-02-21 00:00:00,TRX/USD,0.057605,0.061309,0.056414,0.059344,5199829.671104968,87621826.48801847
1613779200000,2021-02-20 00:00:00,TRX/USD,0.060849,0.063576,0.055133,0.057697,6380183.41066509,110580851.87557569
1613692800000,2021-02-19 00:00:00,TRX/USD,0.054972,0.064579,0.054027,0.06055,12885058.850078126,212800311.31425476
1613606400000,2021-02-18 00:00:00,TRX/USD,0.05259,0.055586,0.052115,0.054782,4996945.264192836,91215093.72043438
1613520000000,2021-02-17 00:00:00,TRX/USD,0.0520592,0.054,0.048943,0.052492,5062254.006987873,96438581.25024526
1613433600000,2021-02-16 00:00:00,TRX/USD,0.050882,0.05519686,0.049277,0.05214267,5556833.851180215,106569798.80739163
1613347200000,2021-02-15 00:00:00,TRX/USD,0.055256,0.0563,0.045783,0.050836,7386626.945472435,145303071.55308118
1613260800000,2021-02-14 00:00:00,TRX/USD,0.06,0.060189,0.05226,0.055225,6657277.159203894,120548250.9588754
1613174400000,2021-02-13 00:00:00,TRX/USD,0.055423,0.061193,0.051528,0.059868,8337781.95104374,139269425.25295216
1613088000000,2021-02-12 00:00:00,TRX/USD,0.056985,0.057892,0.05142,0.055276,7505872.347266363,135788992.46085757
1613001600000,2021-02-11 00:00:00,TRX/USD,0.046426,0.059081,0.044441,0.05685988,8853348.847995523,155704669.93591127
1612915200000,2021-02-10 00:00:00,TRX/USD,0.046251,0.049861,0.041567,0.046328,7385363.013806214,159414673.9295073
1612828800000,2021-02-09 00:00:00,TRX/USD,0.040475,0.050914,0.040475,0.046136,8132671.576005256,176276044.2172112
1612742400000,2021-02-08 00:00:00,TRX/USD,0.036008,0.041878,0.035271,0.040435,2369392.7540665925,58597570.27492501
1612656000000,2021-02-07 00:00:00,TRX/USD,0.035091,0.03739,0.034056,0.036021,1243495.1535984564,34521394.5642391
1612569600000,2021-02-06 00:00:00,TRX/USD,0.036261,0.036381,0.033501,0.035067,1174972.245017201,33506494.56803265
1612483200000,2021-02-05 00:00:00,TRX/USD,0.03321,0.03655,0.033027,0.036211,1701994.198563941,47002131.90919723
1612396800000,2021-02-04 00:00:00,TRX/USD,0.034572,0.034693,0.032181,0.033146,1008059.2482579653,30412696.80377618
1612310400000,2021-02-03 00:00:00,TRX/USD,0.03322348,0.03528,0.033223,0.034584,1132283.5306647387,32740097.46312569
1612224000000,2021-02-02 00:00:00,TRX/USD,0.033104,0.033577,0.032278,0.03321,637512.5011835309,19196401.72187687
1612137600000,2021-02-01 00:00:00,TRX/USD,0.031564,0.034875,0.031199,0.033025,1748515.463340963,52945207.06558556
1612051200000,2021-01-31 00:00:00,TRX/USD,0.032178,0.03477,0.030925,0.031555,1663088.1973694833,52704427.10725664
1611964800000,2021-01-30 00:00:00,TRX/USD,0.033433,0.033572,0.03062169,0.0322,1661622.3088239331,51603177.29266873
1611878400000,2021-01-29 00:00:00,TRX/USD,0.029647,0.044784,0.029394,0.033421,7677799.167458065,229729785.68738413
1611792000000,2021-01-28 00:00:00,TRX/USD,0.028307,0.029977,0.028,0.02965,306478.08721247554,10336529.07967877
1611705600000,2021-01-27 00:00:00,TRX/USD,0.029508,0.029508,0.027615,0.02838,485772.80694301287,17116730.33625838
1611619200000,2021-01-26 00:00:00,TRX/USD,0.029434,0.029935,0.02846,0.029554,298606.37066436815,10103754.84416215
1611532800000,2021-01-25 00:00:00,TRX/USD,0.030071,0.032793,0.029453,0.029498,856477.7495118506,29035112.53345483
1611446400000,2021-01-24 00:00:00,TRX/USD,0.029105,0.030767,0.029055,0.030026,464967.22889491613,15485486.87453927
1611360000000,2021-01-23 00:00:00,TRX/USD,0.028615,0.029487,0.02815,0.029213,294845.28581849614,10092947.85946312
1611273600000,2021-01-22 00:00:00,TRX/USD,0.027658,0.028981,0.026374,0.028674,865733.3627014122,30192277.41861659
1611187200000,2021-01-21 00:00:00,TRX/USD,0.030489,0.030578,0.027593,0.027652,601091.9238052424,21737737.73344577
1611100800000,2021-01-20 00:00:00,TRX/USD,0.030624,0.031207,0.029041,0.030486,370084.17429728294,12139479.57414167
1611014400000,2021-01-19 00:00:00,TRX/USD,0.031687,0.032485,0.030625,0.030654,574347.3948048721,18736458.36774555
1610928000000,2021-01-18 00:00:00,TRX/USD,0.030406,0.032395,0.029677,0.03170379,447311.58531493094,14109088.70248418
1610841600000,2021-01-17 00:00:00,TRX/USD,0.03,0.030773,0.02915,0.030244,218742.360251094,7232586.96769918
1610755200000,2021-01-16 00:00:00,TRX/USD,0.029732,0.031345,0.029501,0.030211,421159.86280898895,13940613.11472606
1610668800000,2021-01-15 00:00:00,TRX/USD,0.030115,0.031437,0.028359,0.029725,750493.6623007797,25247894.44241479
1610582400000,2021-01-14 00:00:00,TRX/USD,0.03077,0.031494,0.029185,0.030035,436851.6205141951,14544751.80669869
1610496000000,2021-01-13 00:00:00,TRX/USD,0.028715,0.030761,0.027686,0.030761,800502.3635362874,26023288.04448124
1610409600000,2021-01-12 00:00:00,TRX/USD,0.028944,0.030363,0.027952,0.028704,680744.5357374098,23716016.43455302
1610323200000,2021-01-11 00:00:00,TRX/USD,0.032797,0.032797,0.027081,0.028993,1949125.3088718392,67227444.86158173
1610236800000,2021-01-10 00:00:00,TRX/USD,0.033977,0.036703,0.03119,0.032857,2220376.1234688396,67576958.4401753
1610150400000,2021-01-09 00:00:00,TRX/USD,0.030493,0.035534,0.029527,0.033859,2141524.2453263067,63248301.64288097
1610064000000,2021-01-08 00:00:00,TRX/USD,0.031,0.031268,0.028514,0.030389,719863.7420611168,23688299.78153664
1609977600000,2021-01-07 00:00:00,TRX/USD,0.030485,0.033408,0.029849,0.030956,2066734.4488101634,66763614.44663921
1609891200000,2021-01-06 00:00:00,TRX/USD,0.028563,0.030995,0.027819,0.03036,1922446.3972227185,63321686.3380342
1609804800000,2021-01-05 00:00:00,TRX/USD,0.031029,0.031208,0.027,0.028542,1750369.3933778838,61326094.64571101
1609718400000,2021-01-04 00:00:00,TRX/USD,0.029511,0.03216,0.026715,0.030988,1518943.2804674164,49017144.71625843
1609632000000,2021-01-03 00:00:00,TRX/USD,0.027236,0.030036,0.026537,0.029449,1012852.6087787405,34393446.5950878
1609545600000,2021-01-02 00:00:00,TRX/USD,0.026854,0.027893,0.026504,0.027202,496500.3691829562,18252347.95908228
1609459200000,2021-01-01 00:00:00,TRX/USD,0.02680325,0.027393,0.026484,0.026853,338466.70536807703,12604428.01057897
1609372800000,2020-12-31 00:00:00,TRX/USD,0.026892,0.027,0.02586,0.02678493,275820.59720030153,10297603.80931746
1609286400000,2020-12-30 00:00:00,TRX/USD,0.027591,0.027762,0.02639,0.026969,360497.25081472256,13367097.43834486
1609200000000,2020-12-29 00:00:00,TRX/USD,0.029567,0.030212,0.026436,0.027617,787463.0861250061,28513708.44497976
1609113600000,2020-12-28 00:00:00,TRX/USD,0.028869,0.030334,0.028588,0.029529,300265.5020190937,10168495.44580222
1609027200000,2020-12-27 00:00:00,TRX/USD,0.027726,0.030966,0.026601,0.028805,833483.0058227582,28935358.64685847
1608940800000,2020-12-26 00:00:00,TRX/USD,0.028574,0.02864,0.027167,0.02772079,713426.8557323589,25736166.09527935
1608854400000,2020-12-25 00:00:00,TRX/USD,0.027734,0.029506,0.02708,0.028536,883753.0325741179,30969758.64080873
1608768000000,2020-12-24 00:00:00,TRX/USD,0.024712,0.027725,0.024161,0.02768,307678.9056293864,11115567.39990558
1608681600000,2020-12-23 00:00:00,TRX/USD,0.028848,0.028988,0.023694,0.024795,1321201.623814039,53285001.96870493
1608595200000,2020-12-22 00:00:00,TRX/USD,0.029382,0.029564,0.027664,0.028849,332623.4409901022,11529808.34656668
1608508800000,2020-12-21 00:00:00,TRX/USD,0.031037,0.031859,0.0289502,0.029255,481588.04044167296,16461734.41947267
1608422400000,2020-12-20 00:00:00,TRX/USD,0.031213,0.032907,0.030312,0.03117,488065.4573549269,15658179.57506984
1608336000000,2020-12-19 00:00:00,TRX/USD,0.031134,0.031999,0.030877,0.031268,240453.9561331253,7690097.10033022
1608249600000,2020-12-18 00:00:00,TRX/USD,0.030541,0.0314,0.030055,0.031163,167087.45474727667,5361725.59597204
1608163200000,2020-12-17 00:00:00,TRX/USD,0.0315,0.032396,0.030143,0.0307,306083.2257651571,9970137.64707352
1608076800000,2020-12-16 00:00:00,TRX/USD,0.02925,0.031439,0.028812,0.031439,292170.1205796124,9293238.35298872
1607990400000,2020-12-15 00:00:00,TRX/USD,0.029178,0.029557,0.028715,0.029236,96290.35689455763,3293554.4156026
1607904000000,2020-12-14 00:00:00,TRX/USD,0.029214,0.029246,0.028629,0.029134,74671.09852035665,2563022.53450802
1607817600000,2020-12-13 00:00:00,TRX/USD,0.028635,0.029684,0.028485,0.029232,81879.2653661162,2801014.82505871
1607731200000,2020-12-12 00:00:00,TRX/USD,0.027761,0.028779,0.027728,0.028525,70664.57072958488,2477285.56457791
1607644800000,2020-12-11 00:00:00,TRX/USD,0.028183,0.028233,0.027436,0.027809,99291.9596515534,3570497.30848119
1607558400000,2020-12-10 00:00:00,TRX/USD,0.028754,0.028804,0.0278,0.028136,54087.88913576718,1922373.08557603
1607472000000,2020-12-09 00:00:00,TRX/USD,0.027922,0.029577,0.027086,0.02874,1278098.72799751,44471076.13074147
1607385600000,2020-12-08 00:00:00,TRX/USD,0.030242,0.030246,0.027544,0.027881,382248.93142022315,13710015.11496084
1607299200000,2020-12-07 00:00:00,TRX/USD,0.030993,0.030993,0.029901,0.030309,143695.28959359205,4741010.57750477
1607212800000,2020-12-06 00:00:00,TRX/USD,0.030571,0.031055,0.030081,0.030991,127835.64378744246,4124928.00449945
1607126400000,2020-12-05 00:00:00,TRX/USD,0.029407,0.0306,0.029183,0.030568,86749.73126005483,2837926.30397981
1607040000000,2020-12-04 00:00:00,TRX/USD,0.031558,0.031758,0.029071,0.029543,277622.59725461033,9397237.83145281
1606953600000,2020-12-03 00:00:00,TRX/USD,0.03117,0.032,0.0308,0.031647,146553.5704386164,4630883.50992563
1606867200000,2020-12-02 00:00:00,TRX/USD,0.030277,0.031377,0.029817,0.031162,202526.39994434698,6499146.39446592
1606780800000,2020-12-01 00:00:00,TRX/USD,0.032475,0.034218,0.029037,0.03038994,663413.0913645833,21830023.07225955
1606694400000,2020-11-30 00:00:00,TRX/USD,0.030835,0.033044,0.030294,0.032357,380386.58469911735,11755928.69237313
1606608000000,2020-11-29 00:00:00,TRX/USD,0.030356,0.031232,0.02957,0.030751,136778.9674837164,4447951.85469469
1606521600000,2020-11-28 00:00:00,TRX/USD,0.029429,0.031245,0.028709,0.03053,213931.95501819593,7007270.06282987
1606435200000,2020-11-27 00:00:00,TRX/USD,0.029523,0.030234,0.028156,0.029414,184505.82204233616,6272721.22262651
1606348800000,2020-11-26 00:00:00,TRX/USD,0.032997,0.033865,0.02734,0.029485,1161295.6360873582,39385980.53543694
1606262400000,2020-11-25 00:00:00,TRX/USD,0.035194,0.03741,0.031659,0.033056,892384.8407248994,26996153.21650833
1606176000000,2020-11-24 00:00:00,TRX/USD,0.031741,0.039027,0.031456,0.035,1568680.9694274974,44819456.26935706
1606089600000,2020-11-23 00:00:00,TRX/USD,0.028714,0.031745,0.028283,0.031635,654810.0988761276,20698912.5612811
1606003200000,2020-11-22 00:00:00,TRX/USD,0.030489,0.030721,0.027233,0.0287,567088.9386575967,19759196.46890581
1605916800000,2020-11-21 00:00:00,TRX/USD,0.026347,0.030618,0.026122,0.030508,981833.848914488,32182832.33625567
1605830400000,2020-11-20 00:00:00,TRX/USD,0.025802,0.026569,0.025778,0.026289,218099.1405393112,8296212.88521097
1605744000000,2020-11-19 00:00:00,TRX/USD,0.026813,0.026882,0.0253,0.025805,218047.8563252753,8449829.73552704
1605657600000,2020-11-18 00:00:00,TRX/USD,0.026509,0.027087,0.0249,0.026765,854830.556170826,31938373.10557915
1605571200000,2020-11-17 00:00:00,TRX/USD,0.025486,0.026589,0.025477,0.026509,137237.93919689188,5177031.92111705
1605484800000,2020-11-16 00:00:00,TRX/USD,0.025339,0.025825,0.025133,0.025504,119376.13552507189,4680682.85465307
1605398400000,2020-11-15 00:00:00,TRX/USD,0.025111,0.025792,0.02493,0.025316,195054.45351565542,7704789.60008119
1605312000000,2020-11-14 00:00:00,TRX/USD,0.025407,0.025407,0.024975,0.025123,103632.76641198291,4125015.57982657
1605225600000,2020-11-13 00:00:00,TRX/USD,0.024894,0.025489,0.024811,0.025381,116522.4132981741,4590930.74733754
1605139200000,2020-11-12 00:00:00,TRX/USD,0.025016,0.025225,0.024756,0.024893,118673.65520753701,4767350.46830583
1605052800000,2020-11-11 00:00:00,TRX/USD,0.024877,0.025331,0.024868,0.025033,115202.20443491968,4602013.51955098
1604966400000,2020-11-10 00:00:00,TRX/USD,0.024797,0.025304,0.024618,0.024847,106075.82654217473,4269160.32286291
1604880000000,2020-11-09 00:00:00,TRX/USD,0.025347,0.025669,0.024714,0.024792,233906.2543669081,9434747.27197919
1604793600000,2020-11-08 00:00:00,TRX/USD,0.024902,0.02569,0.024685,0.025386,103907.4192661267,4093099.31718769
1604707200000,2020-11-07 00:00:00,TRX/USD,0.026143,0.026708,0.0245,0.024899,226472.2108331825,9095634.79791086
1604620800000,2020-11-06 00:00:00,TRX/USD,0.024923,0.026182,0.024909,0.026119,395557.81391715293,15144447.10429775
1604534400000,2020-11-05 00:00:00,TRX/USD,0.024293,0.025058,0.024024,0.024919,316052.8902083504,12683209.20616198
1604448000000,2020-11-04 00:00:00,TRX/USD,0.024444,0.024444,0.023712,0.024207,151137.35586857417,6243539.30138283
1604361600000,2020-11-03 00:00:00,TRX/USD,0.024453,0.024474,0.023056,0.024402,320989.04645735887,13154210.57525444
1604275200000,2020-11-02 00:00:00,TRX/USD,0.025794,0.02591,0.024377,0.024449,303368.56566192675,12408219.79066329
1604188800000,2020-11-01 00:00:00,TRX/USD,0.025756,0.025892,0.025431,0.025727,97487.65800424722,3789313.09535691
1604102400000,2020-10-31 00:00:00,TRX/USD,0.025621,0.026724,0.02544,0.025756,310397.5648543131,12051466.25463244
1604016000000,2020-10-30 00:00:00,TRX/USD,0.026555,0.026658,0.025273,0.025626,120095.58619411096,4686474.13541368
1603929600000,2020-10-29 00:00:00,TRX/USD,0.026888,0.027243,0.026374,0.02653,119867.20657473669,4518175.89803003
