https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XLM
1618272000000,2021-04-13 00:00:00,XLM/USD,0.59242,0.59596,0.585,0.585,126250.82874652364,215813.38247269
1618185600000,2021-04-12 00:00:00,XLM/USD,0.58446,0.60758,0.56634,0.59172,4139413.5736644403,6995561.36967559
1618099200000,2021-04-11 00:00:00,XLM/USD,0.5632,0.65748,0.5557,0.58353,10194641.487842433,17470638.16400602
1618012800000,2021-04-10 00:00:00,XLM/USD,0.4867,0.59284,0.48241,0.5625,6587073.803179868,11710353.42787532
1617926400000,2021-04-09 00:00:00,XLM/USD,0.50483,0.50899,0.478,0.48554,1376531.5941429373,2835052.91869452
1617840000000,2021-04-08 00:00:00,XLM/USD,0.47462,0.505,0.46742,0.50301,2674919.7972362735,5317826.28026535
1617753600000,2021-04-07 00:00:00,XLM/USD,0.54133,0.5463,0.45292,0.47309,6639946.577892863,14035271.46609073
1617667200000,2021-04-06 00:00:00,XLM/USD,0.538,0.58,0.481,0.54068,10343651.728191746,19130819.94560876
1617580800000,2021-04-05 00:00:00,XLM/USD,0.42907,0.54941,0.42244,0.53669,9029123.501669355,16823722.2636333
1617494400000,2021-04-04 00:00:00,XLM/USD,0.40721,0.43454,0.40065,0.42856,1415475.915672733,3302865.21297539
1617408000000,2021-04-03 00:00:00,XLM/USD,0.43884,0.4579,0.40661,0.4083,2349825.0633429578,5755143.43214048
1617321600000,2021-04-02 00:00:00,XLM/USD,0.42502,0.46802,0.42501,0.43877,2750035.0866067386,6267600.53469184
1617235200000,2021-04-01 00:00:00,XLM/USD,0.40599,0.429,0.40056,0.4238,1905472.390860976,4496159.48763798
1617148800000,2021-03-31 00:00:00,XLM/USD,0.40118,0.40632,0.37855,0.40467,1548580.77543948,3826774.34808481
1617062400000,2021-03-30 00:00:00,XLM/USD,0.40455,0.41375,0.39808,0.40072,762709.0962089356,1903346.71643276
1616976000000,2021-03-29 00:00:00,XLM/USD,0.39767,0.41284,0.3909,0.40546,696436.556087417,1717645.52875109
1616889600000,2021-03-28 00:00:00,XLM/USD,0.38268,0.4134,0.37835,0.39742,1921137.574940912,4834023.38820621
1616803200000,2021-03-27 00:00:00,XLM/USD,0.38568,0.38941,0.37134,0.3823,592379.1659652237,1549513.905219
1616716800000,2021-03-26 00:00:00,XLM/USD,0.36194,0.38642,0.36033,0.38425,877850.457084773,2284581.54088425
1616630400000,2021-03-25 00:00:00,XLM/USD,0.36173,0.3704,0.34087,0.36171,1147651.5801727283,3172850.0184477298
