https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XMR
1618272000000,2021-04-13 00:00:00,XMR/USD,314.99,315.11,308.49,310.67,73825.5200035743,237.63324429
1618185600000,2021-04-12 00:00:00,XMR/USD,329.34,344.95,314.23,314.23,3207004.080546021,10205.9131227
1618099200000,2021-04-11 00:00:00,XMR/USD,292.7,329.63,291.23,329.15,2558725.94454973,7773.73824867
1618012800000,2021-04-10 00:00:00,XMR/USD,273.22,298.76,273.21,291.6,1978513.248910644,6785.02485909
1617926400000,2021-04-09 00:00:00,XMR/USD,270.6,290.0,266.27,273.36,1583642.323414224,5793.2481834
1617840000000,2021-04-08 00:00:00,XMR/USD,257.74,272.19,251.33,269.81,977214.2435774887,3621.86073006
1617753600000,2021-04-07 00:00:00,XMR/USD,271.05,279.79,253.34,257.12,2167909.3509010463,8431.50805422
1617667200000,2021-04-06 00:00:00,XMR/USD,265.7,277.4,261.73,270.84,1383809.744610228,5109.3255967000005
1617580800000,2021-04-05 00:00:00,XMR/USD,263.89,268.84,260.02,265.66,959526.4223035281,3611.8588508
1617494400000,2021-04-04 00:00:00,XMR/USD,256.5,272.32,247.0,264.17,3438470.6215965254,13016.1283325
1617408000000,2021-04-03 00:00:00,XMR/USD,257.58,266.8,252.72,257.14,2936520.2727981457,11419.92794897
1617321600000,2021-04-02 00:00:00,XMR/USD,250.66,261.75,249.07,257.36,913136.6427985112,3548.09077867
1617235200000,2021-04-01 00:00:00,XMR/USD,245.97,255.0,244.39,250.57,514019.0044371994,2051.39882842
1617148800000,2021-03-31 00:00:00,XMR/USD,245.26,263.67,242.4,246.83,3069363.9228366786,12435.13318007
1617062400000,2021-03-30 00:00:00,XMR/USD,234.02,247.25,232.67,244.67,1109270.3242580788,4533.74064764
1616976000000,2021-03-29 00:00:00,XMR/USD,232.81,243.34,230.65,234.31,1917909.0031407678,8185.34848338
1616889600000,2021-03-28 00:00:00,XMR/USD,221.21,232.83,218.0,232.55,811458.560244692,3489.39393784
1616803200000,2021-03-27 00:00:00,XMR/USD,221.5,223.78,214.0,221.09,231644.17158117812,1047.73699209
