https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XVG
1618272000000,2021-04-13 00:00:00,XVG/USD,0.040493,0.040681,0.040235,0.040681,81.74646896748271,2009.45082391
1618185600000,2021-04-12 00:00:00,XVG/USD,0.042736,0.042969,0.039924,0.040523,87077.93990298049,2148852.2543489
1618099200000,2021-04-11 00:00:00,XVG/USD,0.042289,0.044,0.041191,0.043019,74528.36054027165,1732452.18485487
1618012800000,2021-04-10 00:00:00,XVG/USD,0.043674,0.044962,0.039804,0.042098,109264.80500431759,2595486.8403325
1617926400000,2021-04-09 00:00:00,XVG/USD,0.045987,0.046918,0.042756,0.043708,171270.53954495225,3918516.96588616
1617840000000,2021-04-08 00:00:00,XVG/USD,0.043248,0.046303,0.042003,0.045344,144334.16865294072,3183092.9925225102
1617753600000,2021-04-07 00:00:00,XVG/USD,0.04974,0.04974,0.040941,0.042811,103216.2532071972,2410975.05798036
1617667200000,2021-04-06 00:00:00,XVG/USD,0.051,0.053,0.047,0.04771,61051.97834597328,1279647.41869573
1617580800000,2021-04-05 00:00:00,XVG/USD,0.045601,0.053919,0.043461,0.05005,73104.775211965,1460634.8693699301
1617494400000,2021-04-04 00:00:00,XVG/USD,0.0425,0.047,0.041715,0.0456,54710.64078488611,1199794.75405452
1617408000000,2021-04-03 00:00:00,XVG/USD,0.0435,0.0469,0.041157,0.0425,49803.14151679211,1171838.62392452
1617321600000,2021-04-02 00:00:00,XVG/USD,0.043,0.044,0.041622,0.042963,37352.03056580091,869399.96196264
1617235200000,2021-04-01 00:00:00,XVG/USD,0.04387,0.04632,0.041696,0.043231,30427.10844859143,703826.1536534299
1617148800000,2021-03-31 00:00:00,XVG/USD,0.039122,0.045,0.038114,0.0422,40776.55493774724,966269.0743542
1617062400000,2021-03-30 00:00:00,XVG/USD,0.039632,0.0415,0.037,0.038114,29403.458591373805,771460.84355811
1616976000000,2021-03-29 00:00:00,XVG/USD,0.033755,0.041,0.032924,0.039621,61750.30328393687,1558524.60270909
1616889600000,2021-03-28 00:00:00,XVG/USD,0.030469,0.034733,0.0301,0.033263,29835.51986620687,896958.17774124
1616803200000,2021-03-27 00:00:00,XVG/USD,0.030213,0.030723,0.028939,0.030209,11178.809575851896,370048.97798179
1616716800000,2021-03-26 00:00:00,XVG/USD,0.027578,0.030478,0.027249,0.029941,5950.7267003380375,198748.42858749
1616630400000,2021-03-25 00:00:00,XVG/USD,0.028684,0.029052,0.026363,0.027597,13671.333009645421,495391.99947985
1616544000000,2021-03-24 00:00:00,XVG/USD,0.031364,0.033799,0.0275,0.028269,16530.082727686786,584742.39370642
1616457600000,2021-03-23 00:00:00,XVG/USD,0.030057,0.032999,0.02786,0.031491,18886.776040500234,599751.54934744
1616371200000,2021-03-22 00:00:00,XVG/USD,0.033489,0.034949,0.029617,0.03028,45175.61144678209,1491929.04381711
1616284800000,2021-03-21 00:00:00,XVG/USD,0.03398,0.034794,0.031519,0.033384,89971.08973574093,2695036.236992
1616198400000,2021-03-20 00:00:00,XVG/USD,0.03505,0.037621,0.034,0.034,95777.59208668198,2816988.00254947
1616112000000,2021-03-19 00:00:00,XVG/USD,0.03055,0.035946,0.03,0.035482,105881.93697984215,2984102.84030895
1616025600000,2021-03-18 00:00:00,XVG/USD,0.029511,0.031663,0.029511,0.03076,48261.81847506144,1568979.79437781
1615939200000,2021-03-17 00:00:00,XVG/USD,0.03013,0.031163,0.026117,0.03038,22813.82470825737,750948.80540676
1615852800000,2021-03-16 00:00:00,XVG/USD,0.0314,0.0345,0.028126,0.029766,58924.406642534435,1979587.6719255
1615766400000,2021-03-15 00:00:00,XVG/USD,0.0277,0.034,0.02635,0.031403,88861.54626125522,2829715.19476659
1615680000000,2021-03-14 00:00:00,XVG/USD,0.025664,0.0293,0.025364,0.028162,21644.680196417994,768577.52277601
